id,conc_pc,length_micron
1697,2.0,2341.6
2923,2.5,1979.0
3738,2.5,2085.1
219,2.5,2213.4
1503,1.5,1999.6
3126,2.0,2723.4
3668,2.5,2280.8
2977,1.5,2610.9
1031,1.5,2366.4
970,1.5,2661.3
1582,0.0,2296.3
2716,1.5,2765.9
735,1.5,2531.6
3529,0.0,2731.4
3622,1.5,2017.8
1810,1.5,2349.4
1349,1.5,2767.3
1175,2.0,2326.6
1105,0.0,2158.8
195,2.5,2285.8
1143,0.0,2453.8
204,2.5,2269.0
884,2.0,2529.4
1509,1.5,2263.4
284,2.0,1951.1
2643,2.0,2378.5
2023,2.0,2058.4
2212,1.5,2488.9
1346,1.5,2454.2
2903,1.5,2357.4
2816,2.0,2240.3
3713,2.5,1848.9
2039,1.5,1892.4
3480,2.0,2539.9
2028,2.0,2479.8
1365,2.0,2125.1
858,2.0,2135.2
1108,0.0,2302.4
1699,1.5,2084.9
416,0.0,2617.1
1630,0.0,2319.6
1371,2.5,2328.1
3936,1.5,2447.0
947,1.5,2743.3
2046,0.0,1993.4
3849,2.0,1904.0
1919,0.0,2538.0
3923,2.0,2655.4
501,1.5,2421.9
1440,2.0,2328.6
509,2.5,1886.3
3690,0.0,2077.3
1571,1.5,1944.1
2706,2.0,2341.6
1538,2.0,2108.9
3815,0.0,2214.3
2537,0.0,2980.7
231,1.5,2388.1
1198,1.5,1940.2
1721,0.0,2782.0
3242,2.0,2427.7
2150,1.5,2577.5
1831,2.5,2980.4
2171,0.0,2293.3
67,2.5,1819.3
253,2.5,2459.7
3193,2.5,2106.5
1916,1.5,2379.2
1661,2.5,2419.1
1401,2.0,2320.0
1481,1.5,2355.4
1987,0.0,2757.0
2731,0.0,2685.8
3592,1.5,1978.3
3216,2.0,2307.2
1693,1.5,2359.6
3607,0.0,2706.6
866,0.0,3060.5
3202,2.5,2512.3
441,0.0,1809.2
1112,1.5,2284.9
3247,0.0,2156.0
893,0.0,2616.2
2813,0.0,1926.8
2937,2.0,2507.7
1211,2.0,2365.5
2864,1.5,2052.7
3086,0.0,2371.3
1887,2.0,1915.4
3716,2.0,2564.6
1011,2.0,2462.0
94,1.5,2534.7
3951,2.5,2021.2
142,2.0,2552.8
2780,2.0,2676.4
264,2.0,2466.6
1321,2.5,2229.7
1456,1.5,2284.6
519,0.0,2430.7
2674,0.0,2377.1
2378,2.5,2441.3
2893,2.0,1818.5
144,2.0,2016.5
3062,2.5,2217.2
1260,1.5,2551.7
3681,2.5,1715.0
1224,2.0,2372.8
1953,1.5,2283.7
242,0.0,2522.4
3446,2.0,1686.9
611,2.5,2919.5
138,1.5,2487.0
2158,0.0,2283.5
2608,2.5,2306.7
374,2.5,2575.0
289,1.5,2544.7
3176,2.5,1670.2
871,2.5,2043.3
1783,2.0,2371.4
1240,2.0,2356.4
930,2.0,2266.4
3513,2.0,2501.8
1952,2.5,2191.0
2153,2.0,2159.0
1110,2.5,1974.7
1996,1.5,2629.6
2310,1.5,2506.7
703,1.5,2719.4
3680,2.0,2612.5
2634,1.5,2329.0
2309,0.0,2110.2
1922,2.5,2172.4
579,1.5,2237.7
3220,0.0,2816.9
3094,2.0,2581.2
549,1.5,2235.2
1664,0.0,2639.4
2660,2.0,2624.9
2059,1.5,2536.4
2281,0.0,2039.2
583,2.5,2358.7
938,0.0,2123.9
2340,1.5,2359.0
3691,0.0,2206.3
3768,2.5,1993.9
1892,2.0,2053.8
3421,0.0,2578.5
2031,2.0,2291.6
3067,2.5,1748.1
3092,2.5,2333.1
1807,2.5,2344.8
1665,0.0,2141.7
1125,2.5,2042.1
3990,0.0,2429.3
1706,0.0,1973.5
1759,2.0,1897.9
428,2.0,2180.4
764,0.0,2757.3
1867,0.0,1941.6
304,1.5,2683.9
