id,conc_pc,length_micron
2967,2.5,2684.5
930,2.0,2266.4
1609,1.5,2010.2
1514,0.0,2457.4
1054,2.0,2882.1
238,1.5,2604.5
3944,2.5,2701.5
1734,2.0,2136.8
9,2.5,2633.4
3856,1.5,2441.2
2551,2.5,1605.9
2343,0.0,2266.6
3612,2.0,2705.3
319,2.5,2212.3
2331,2.5,1730.0
3774,1.5,2332.5
1682,2.5,2134.2
3118,2.0,1781.0
1845,2.5,2152.2
848,1.5,2301.7
3508,1.5,2971.0
2254,0.0,2405.0
2645,2.0,1985.9
2185,2.0,2345.1
2680,1.5,2625.8
3599,1.5,2398.5
3655,0.0,2437.1
1354,0.0,2339.4
1493,2.0,2301.8
1906,0.0,2102.5
1645,0.0,2826.8
1051,0.0,2832.6
1021,0.0,2814.9
2060,0.0,2331.5
3812,0.0,2307.9
2873,2.5,2754.3
361,1.5,2066.2
82,1.5,2562.4
3021,2.0,2069.2
1202,0.0,2172.4
145,2.0,2198.9
2615,2.0,2479.1
3918,1.5,2661.4
1512,2.5,2058.6
2658,2.0,2434.5
1532,2.5,2415.9
3597,0.0,2097.1
2983,1.5,2654.7
784,2.0,2010.7
1701,2.5,1517.3
2187,2.0,2372.8
137,1.5,1969.7
2806,0.0,2983.5
2401,1.5,2170.1
1860,1.5,2397.3
970,1.5,2661.3
1769,2.0,2377.8
2428,0.0,2502.1
3257,2.5,2265.9
1468,1.5,2299.4
1029,2.0,2409.2
1565,2.5,2273.1
237,2.5,2131.6
2168,2.5,2019.2
3825,1.5,2252.7
556,1.5,2242.1
631,1.5,2472.6
3034,0.0,2379.0
2435,1.5,2815.1
1921,0.0,2388.4
1649,1.5,2326.9
530,0.0,2566.1
143,0.0,3157.9
3436,2.0,2069.7
104,2.0,2199.1
13,1.5,3054.2
3221,0.0,2403.6
27,0.0,2634.1
3872,2.0,2491.5
833,2.0,1881.3
3104,0.0,2503.2
864,2.0,2204.1
2498,2.0,2249.9
3165,2.5,1957.4
2977,1.5,2610.9
1480,2.5,2250.1
1748,2.5,2189.8
1756,2.5,2312.5
2002,1.5,2602.8
2959,2.5,2296.1
2227,1.5,2355.8
2471,0.0,2247.7
41,2.0,2680.4
283,2.5,2354.3
3150,1.5,2666.9
1221,0.0,2642.9
194,2.0,2679.5
2194,2.5,1818.8
1675,2.0,2438.4
1170,1.5,2336.9
3371,1.5,2450.5
2022,1.5,2135.4
342,0.0,2174.2
1368,1.5,2366.8
1332,2.0,2203.5
3375,2.5,2258.8
1458,2.5,2199.9
737,2.5,2236.8
3528,2.5,2408.9
2943,2.5,2527.4
1428,2.0,1757.1
590,0.0,2037.2
3392,2.5,2914.2
1112,1.5,2284.9
2694,1.5,2252.2
989,2.0,2306.8
2100,0.0,2601.7
1220,2.5,2474.4
96,1.5,2457.9
3833,2.0,2088.9
2648,2.0,2493.3
2388,1.5,2567.7
3137,2.0,2319.4
1105,0.0,2158.8
747,1.5,2476.2
1218,0.0,2108.6
1623,0.0,2134.0
2051,2.0,2451.4
2893,2.0,1818.5
3765,2.0,1834.1
705,2.0,2306.3
2429,1.5,3155.9
2960,2.0,2404.4
1670,2.5,1998.5
1304,2.0,2615.4
173,1.5,2437.1
1969,2.0,2323.2
3437,1.5,2240.0
2821,1.5,2867.0
2763,0.0,2282.0
3115,0.0,2559.1
2259,2.0,2391.6
498,1.5,2402.1
3970,2.5,2142.1
858,2.0,2135.2
3329,2.5,2297.6
1786,0.0,2235.7
2773,1.5,2284.9
823,0.0,2737.1
675,2.0,1813.9
1737,2.5,1747.7
663,2.0,2400.3
3854,2.0,2485.0
3434,2.0,2446.8
288,2.0,2544.0
764,0.0,2757.3
1652,2.5,2539.3
1579,2.5,2111.3
2368,0.0,2546.4
3368,1.5,2249.0
