id,conc_pc,length_micron
2061,2.5,2538.2
582,1.5,1998.4
2907,2.0,1939.4
1960,2.5,2366.7
4,0.0,2222.6
794,0.0,2395.6
1445,1.5,2645.4
868,2.0,2120.0
1492,0.0,2251.5
2840,1.5,2477.1
3069,0.0,2555.4
2297,1.5,2690.7
2338,1.5,2227.5
491,2.0,2355.2
479,1.5,2158.2
897,0.0,2380.4
1077,0.0,2314.7
1666,1.5,1954.2
242,0.0,2522.4
1067,2.0,2530.0
752,2.0,1958.4
2059,1.5,2536.4
850,0.0,2000.1
26,2.5,2121.3
1887,2.0,1915.4
1511,2.0,2700.7
154,1.5,2645.3
2943,2.5,2527.4
1414,1.5,1924.7
776,0.0,2190.1
3355,1.5,2445.0
1424,2.0,2331.3
1643,2.5,1717.1
2740,2.0,2725.1
2191,1.5,2337.0
2959,2.5,2296.1
280,2.0,2388.5
671,2.0,2401.8
2309,0.0,2110.2
2316,2.0,2270.9
3903,2.0,2423.9
508,2.5,2856.9
1692,0.0,2525.6
830,1.5,2276.3
1179,1.5,2168.3
3117,2.0,1940.7
2200,1.5,2120.8
3524,2.0,2642.2
3343,0.0,1866.1
3364,0.0,2817.5
3988,2.5,1744.1
379,2.0,2718.5
730,2.5,2237.3
132,2.0,2385.8
2849,0.0,2315.0
2167,2.0,2369.0
726,0.0,2148.2
2292,2.5,2443.9
1928,1.5,2755.1
1052,0.0,2708.9
1113,0.0,2885.6
1944,0.0,1961.7
3663,0.0,2124.6
96,1.5,2457.9
3701,0.0,2179.8
2738,1.5,2066.2
1188,2.5,2036.7
3280,2.5,2199.1
589,2.5,2304.6
683,2.0,2323.7
1730,0.0,2396.3
1604,2.5,2185.3
834,2.0,1783.6
370,0.0,2177.5
1130,2.0,2395.6
159,1.5,2239.4
1420,1.5,2238.3
2224,2.0,2477.6
1762,1.5,2683.4
184,2.0,2504.2
3220,0.0,2816.9
2114,2.5,2004.4
150,2.0,2567.7
1355,1.5,2516.0
3464,2.5,2275.1
2744,0.0,2180.8
2044,2.5,2589.2
197,2.0,2660.7
1577,2.0,1835.8
3062,2.5,2217.2
1454,1.5,2166.4
1625,1.5,2183.8
2247,2.0,2230.1
3485,1.5,2169.4
661,2.5,1792.9
3278,2.5,2120.9
294,2.0,2123.5
1230,0.0,2170.3
1784,2.5,2300.9
3454,2.0,2344.3
3256,1.5,2158.4
2558,1.5,2550.5
385,0.0,2832.7
2286,2.5,2391.4
3399,0.0,2117.3
1983,1.5,2383.2
821,1.5,2639.5
3325,1.5,2030.2
3039,1.5,2063.1
1220,2.5,2474.4
2008,2.5,2353.1
484,0.0,2715.4
976,2.5,2349.7
1045,2.0,2287.0
3929,1.5,2435.2
3396,1.5,2074.0
2148,1.5,2719.9
2091,1.5,2416.9
286,0.0,2851.1
1754,1.5,2510.8
1059,1.5,2673.0
1538,2.0,2108.9
3134,2.5,2680.4
3601,1.5,2436.9
243,1.5,2102.5
2577,2.5,2663.3
3203,2.5,1548.2
1816,2.5,2185.8
380,2.0,2479.6
1292,0.0,2238.2
778,2.5,2180.6
2098,0.0,2528.2
32,0.0,2261.7
3052,2.0,2471.9
2374,2.5,2129.3
823,0.0,2737.1
2282,0.0,2885.1
2363,0.0,2507.8
762,2.5,2226.7
3751,0.0,2406.2
1611,2.0,2000.4
2296,2.0,1918.1
1559,2.0,2395.7
580,1.5,2625.5
913,0.0,3429.6
2126,2.0,2623.3
129,0.0,2371.7
404,0.0,2528.9
986,2.0,2054.1
2275,2.0,1994.9
490,2.5,2365.9
2559,2.5,2192.4
2745,2.0,2275.5
3661,0.0,2230.5
1034,0.0,2569.0
1083,1.5,2396.6
2081,0.0,2654.0
3481,0.0,2712.6
3886,0.0,2330.7
471,1.5,2222.2
