group,ph,temperature,activity
4,5,20,0.0498
9,5,30,0.0398
9,7,30,
2,7,30,0.047
4,7,30,0.0443
2,7,20,0.0478
5,7,30,0.0426
9,5,40,0.0328
2,5,20,0.0462
3,5,30,0.0381
10,5,30,0.0326
4,7,30,0.0434
7,7,20,0.0411
8,5,30,0.0321
10,9,40,0.0468
10,7,30,0.0522
5,7,30,0.0357
3,9,40,0.0491
9,9,30,0.0422
2,7,20,ERROR
3,9,30,0.0449
2,9,30,0.0509
5,9,40,ERROR
6,7,40,0.0441
3,7,30,0.0462
8,7,20,0.0423
7,9,40,0.0546
4,7,40,
8,9,40,0.0599
2,7,40,0.0481
7,7,30,0.0421
6,7,20,0.0401
9,7,30,-1
7,5,30,0.0456
9,5,20,0.0585
7,9,30,0.0464
10,9,40,0.0562
4,7,30,0.0493
9,9,40,0.0501
2,5,30,0.0408
10,7,20,
8,5,20,0.0635
10,7,20,0.0448
6,7,30,0.0501
2,5,20,0.0659
3,7,20,0.0419
8,9,20,0.0298
2,7,20,0.0495
1,5,30,0.0401
6,9,40,0.052
10,5,20,0.0581
1,5,40,0.0335
1,5,30,0.0428
5,5,20,0.0563
6,9,20,0.0288
2,5,30,0.0331
1,9,40,0.0629
5,9,30,
9,7,30,0.0402
3,7,40,-1
10,7,40,0.0404
6,5,30,0.0322
3,7,20,0.0457
4,7,20,0.0372
9,7,40,ERROR
7,9,20,0.0332
8,7,30,0.0481
5,9,30,0.0384
10,7,20,
7,7,40,-1
8,9,30,0.0402
5,5,40,0.0323
3,5,40,
1,7,20,-1
4,7,40,0.0446
2,5,30,0.0368
5,9,40,0.057
6,9,40,0.0503
7,7,40,0.0451
2,5,20,0.05
4,5,30,0.0435
8,7,30,0.044
1,7,40,0.0404
1,9,40,0.0534
5,9,40,0.0582
5,7,30,0.0456
9,7,20,0.0418
5,5,30,0.0357
1,5,20,ERROR
5,5,20,0.0478
2,9,20,0.0237
7,9,40,0.0569
2,5,40,0.0303
6,7,20,0.0422
5,7,40,0.0504
7,7,40,0.0395
2,5,30,0.0389
3,5,40,0.0286
4,9,30,0.0484
7,5,40,0.029
7,7,30,
9,7,20,ERROR
2,7,40,0.0397
8,5,40,0.0312
6,9,40,0.0532
1,5,30,0.0391
5,7,20,0.0465
6,9,30,0.0366
9,7,30,0.0513
6,5,40,0.0392
3,5,20,0.052
10,9,30,0.0395
6,5,40,0.0338
5,5,30,0.0394
2,5,20,ERROR
4,9,40,0.0571
4,7,30,ERROR
5,7,20,0.0423
9,9,30,0.0474
1,9,30,0.0455
10,5,30,0.0459
3,5,20,0.0574
8,9,30,0.0421
6,7,20,0.043
5,9,20,0.0309
7,7,30,-1
6,5,40,0.0327
1,9,40,0.0589
8,7,20,0.0463
3,9,40,0.057
4,5,30,0.0377
7,5,20,
5,5,40,0.0345
3,7,30,0.0429
4,7,40,-1
5,5,40,0.0279
9,7,20,ERROR
6,5,30,0.0333
9,9,20,0.0254
2,9,40,0.0571
8,9,40,0.0632
10,7,40,0.0427
6,7,20,0.0433
1,9,30,0.0408
5,9,20,0.03
6,9,40,0.0448
1,5,40,0.0335
2,5,40,0.0305
3,5,40,0.0294
7,7,30,0.0453
1,9,20,0.0305
6,9,30,
1,5,20,0.0535
9,5,20,0.0625
2,7,30,0.048
9,5,20,0.0499
4,9,40,-1
4,9,20,0.0261
8,5,20,ERROR
3,7,30,0.0486
3,5,30,0.0338
4,5,20,0.0565
9,7,40,
8,7,30,0.0456
3,7,40,0.0436
10,5,30,0.0409
4,9,30,-1
1,7,30,0.0423
4,5,40,0.0271
8,7,40,
9,5,40,0.0337
