group,ph,temperature,activity
9,5,20,ERROR
4,5,20,0.0498
9,5,30,0.0332
1,9,40,0.0589
8,9,40,0.0599
8,5,30,0.0342
8,5,20,0.0635
4,5,30,0.0373
5,5,30,0.0394
10,9,20,
4,7,40,0.0446
7,9,40,0.0546
3,9,20,0.0247
3,9,20,0.0302
1,7,30,0.0464
4,7,30,0.0507
5,5,30,ERROR
3,7,20,0.0457
6,7,30,-1
7,5,30,0.0298
3,9,40,0.0633
1,9,20,-1
9,5,20,0.0499
6,9,40,0.0448
4,7,30,ERROR
10,7,40,
9,9,20,0.0254
7,7,20,
3,9,40,
8,9,20,0.0317
9,5,40,0.0327
6,9,40,0.0525
7,9,20,0.0287
10,5,20,0.0552
7,5,30,0.0425
8,9,40,0.0551
4,9,20,0.0309
3,9,30,0.0449
2,5,30,0.0408
3,7,30,0.044
10,7,40,0.0427
1,7,20,-1
5,9,30,0.043
7,9,40,0.0547
5,7,40,0.047
1,9,40,0.0504
9,9,20,0.0294
4,5,40,0.0353
2,9,30,0.0423
3,7,20,0.0378
6,7,20,0.0422
4,5,40,0.0311
7,5,40,0.0351
3,9,30,-1
1,9,40,0.0629
4,5,40,0.0271
7,9,30,0.0464
6,5,30,0.0322
7,9,40,0.0592
3,9,30,0.0379
10,9,20,0.0313
4,7,20,0.0434
2,5,40,0.034
6,7,20,0.0401
5,7,40,0.0538
1,9,30,0.0455
6,5,30,0.038
5,7,20,0.0465
4,5,20,0.0639
3,7,40,-1
9,9,30,ERROR
1,7,30,0.0412
2,5,20,0.05
10,5,30,0.0292
1,9,40,0.0534
5,9,20,0.0309
5,9,40,0.0582
2,9,20,0.0297
6,7,40,0.0436
6,9,30,0.042
6,9,20,-1
5,7,20,0.043
10,5,20,0.0547
2,9,40,0.055
7,5,20,ERROR
6,7,30,0.0395
10,9,40,0.0468
1,7,40,0.0466
3,5,20,0.0574
3,9,30,0.0437
2,7,40,0.0444
5,5,20,0.0491
9,5,20,0.0585
3,7,30,0.0429
10,5,40,0.0388
3,5,20,0.0543
10,7,20,0.0448
8,9,20,0.0287
1,7,20,0.0452
10,9,40,ERROR
6,5,20,0.043
7,9,20,0.0332
4,9,40,0.0558
7,9,30,0.0453
1,7,40,
2,7,40,0.0481
5,9,30,0.0384
9,7,20,ERROR
10,7,30,0.0522
8,9,30,0.0415
2,9,40,0.064
7,5,20,0.0664
7,7,40,0.0451
6,5,20,0.0559
4,7,30,0.0493
10,7,40,0.0501
4,5,20,0.0633
5,5,40,0.0337
9,7,40,0.044
2,5,20,0.0462
5,7,30,0.0357
9,7,40,0.0461
6,5,20,-1
8,5,20,0.0599
2,5,40,0.0284
2,7,40,0.0521
2,9,20,0.0263
3,7,20,0.0419
2,9,30,0.0509
3,7,30,0.0525
10,5,40,0.035
2,7,30,0.048
7,7,20,0.0411
3,7,40,0.0418
7,9,20,0.0305
7,7,40,-1
2,7,30,0.048
5,9,30,0.0384
6,9,30,0.0427
4,9,20,0.0261
10,9,20,0.0288
2,7,30,ERROR
7,9,20,0.0256
9,5,40,0.0337
9,9,20,0.0352
9,7,30,0.0461
6,7,20,0.043
5,5,40,0.0285
3,7,30,0.0462
2,7,20,ERROR
3,9,40,0.0603
1,9,20,0.0267
2,5,40,0.0305
3,9,30,0.0415
2,7,40,0.0408
8,7,20,0.0463
10,7,30,0.04
8,5,40,0.0315
2,9,20,0.0328
7,5,20,
9,5,40,0.0328
7,9,30,0.0434
5,9,20,0.0308
2,5,40,0.0303
9,5,30,0.0398
3,5,20,0.0631
7,5,30,0.0423
9,7,20,
8,9,30,0.0402
6,9,20,0.0303
6,9,40,0.052
4,7,20,0.0401
1,9,20,0.0303
7,5,40,0.029
3,5,40,0.0294
9,7,40,0.0473
4,9,40,-1
1,5,30,-1
6,7,20,0.0433
6,5,30,0.0373
1,9,20,0.0305
2,9,30,0.0529
4,5,20,0.0565
5,5,20,0.0553
9,7,20,0.0419
4,7,20,0.0456
7,7,30,0.0421
2,7,30,0.047
10,9,40,0.0621
6,7,30,0.0413
1,5,30,0.0391
2,9,30,0.0398
4,7,40,0.04
8,7,30,0.0461
10,7,20,0.0434
1,5,40,0.0308
8,5,40,0.0317
6,5,40,0.0327
9,9,40,0.0425
6,5,20,0.0472
1,7,20,0.0401
4,7,20,0.0422
9,5,40,0.0321
8,7,30,0.044
8,5,20,0.0632
10,7,40,-1
4,7,30,0.0443
6,9,20,0.0273
7,7,40,0.0512
1,9,30,0.0408
8,5,30,0.0321
2,5,20,ERROR
9,9,40,0.0543
10,5,40,0.0281
3,7,40,0.0393
3,5,20,0.052
5,7,30,0.0515
9,5,40,0.0314
10,9,40,0.0562
2,9,20,0.0237
10,5,30,0.0362
3,9,20,0.0306
8,5,40,0.0324
2,7,40,0.0397
6,9,20,0.0288
1,5,40,0.0331
9,7,30,-1
4,7,40,-1
8,7,40,0.0501
4,9,20,0.0302
3,5,30,0.0444
7,7,20,0.0461
1,5,30,0.0411
8,7,30,0.0456
6,7,40,0.0506
6,9,30,
6,9,30,0.0366
9,5,30,0.0325
2,5,30,0.0368
1,7,20,0.039
3,9,20,0.0285
10,5,30,0.0409
1,5,30,0.0428
7,9,40,0.0569
10,9,30,0.0537
8,9,30,0.0379
4,5,40,0.0355
5,9,30,
8,7,20,0.0413
10,5,20,ERROR
5,7,30,0.0456
2,7,20,0.0413
3,7,40,0.0436
3,5,30,0.0338
4,5,30,0.0372
9,7,40,ERROR
6,9,40,0.0532
5,5,20,0.0478
9,9,30,0.0377
8,7,40,0.0384
8,7,40,
7,7,30,-1
10,5,30,0.0326
5,5,40,0.0279
2,7,30,ERROR
6,7,40,0.0441
6,9,30,0.0461
8,7,20,0.0423
2,5,20,0.0532
2,9,40,0.0571
4,7,30,0.0434
4,5,30,0.0377
7,7,40,ERROR
10,9,30,0.0395
5,9,20,0.0231
7,9,40,0.0504
6,5,30,0.0333
4,9,30,0.0466
5,7,30,0.042
3,5,40,0.0286
8,9,40,-1
1,9,20,0.0307
9,5,20,0.0489
5,5,30,0.0357
9,5,30,0.041
1,7,20,0.0462
1,5,20,ERROR
8,9,40,0.0593
3,9,20,0.0283
8,7,30,0.0481
1,5,30,0.0401
4,9,30,0.0394
9,7,30,
9,9,30,0.0422
7,5,20,0.0534
5,7,40,0.0464
9,9,30,0.0477
4,9,40,0.0466
1,7,40,0.0424
9,9,20,0.0293
