group,ph,temperature,activity
8,7,20,0.0423
4,5,20,0.0498
2,5,30,0.0368
9,5,40,0.0321
1,5,40,0.0335
1,9,20,0.0307
8,7,40,0.0384
5,9,30,
10,9,40,0.0621
10,9,40,0.0468
6,7,40,0.0506
10,5,20,ERROR
8,9,20,0.0287
7,7,30,0.0453
3,5,30,0.0334
4,7,20,0.0372
2,9,40,0.0571
10,5,30,0.0362
6,5,30,0.0333
8,5,30,0.0321
2,5,20,0.0659
7,9,40,0.0546
3,7,40,0.0425
4,5,40,0.0353
8,9,30,0.0402
7,5,40,0.029
1,7,40,0.0404
3,5,30,0.0338
4,9,30,0.0484
4,7,20,0.0456
5,7,40,0.0538
5,7,20,0.043
2,5,30,0.0408
3,9,40,
4,7,40,-1
3,9,30,0.0379
1,7,40,0.0424
6,9,20,0.0273
2,5,40,0.0351
5,7,30,0.0426
2,5,20,0.0462
7,7,30,0.0421
3,7,20,0.0419
7,9,20,0.0305
9,9,30,0.0377
2,9,40,0.064
3,7,30,0.0525
7,7,20,
4,9,20,0.0356
10,5,40,0.0281
3,9,20,0.0302
5,7,20,0.048
9,5,40,0.0314
8,5,40,0.0317
7,7,20,0.0411
6,7,40,0.045
4,7,40,0.0446
3,9,30,0.0449
5,9,30,0.0384
2,9,20,0.0328
7,7,30,-1
3,7,30,0.0486
9,9,20,0.0294
1,5,20,ERROR
10,7,40,0.0404
1,5,30,0.0411
8,7,40,0.0501
7,9,40,0.0504
10,5,40,0.0388
9,9,20,0.0293
8,9,40,-1
4,9,40,0.0535
2,7,30,0.048
2,5,20,0.05
9,7,40,0.044
3,7,20,0.0476
6,7,20,0.0449
7,5,30,0.0425
8,7,30,0.044
8,9,20,0.0317
9,5,20,0.0585
4,5,30,0.0372
3,9,40,0.0603
8,9,40,0.0593
8,5,30,0.0384
5,9,20,0.0231
10,7,20,0.0587
4,5,30,0.0377
5,5,20,0.0553
7,5,20,0.0534
4,5,40,0.0284
9,7,20,0.0419
6,7,20,0.0401
7,9,40,0.0569
2,9,20,0.0338
5,5,30,0.0394
7,9,30,0.0483
8,9,20,0.0298
10,5,20,0.0547
7,7,20,0.0461
6,5,30,0.0322
9,9,20,0.0352
9,5,20,0.0499
3,5,40,
9,9,30,ERROR
7,5,40,0.0351
10,7,20,0.0434
3,5,30,0.0338
7,9,20,0.0293
10,5,40,0.0278
4,9,40,0.0571
5,9,40,0.0599
1,7,20,0.039
7,5,20,0.0664
5,5,40,0.0285
7,5,20,-1
6,7,40,0.0425
9,7,40,
2,5,30,0.0389
3,9,30,0.0437
8,7,40,0.0447
7,5,40,-1
4,7,30,0.0434
10,7,20,
10,7,20,
8,5,20,0.0635
4,9,40,0.0558
2,7,20,0.0495
2,5,40,0.0303
4,7,20,0.0422
9,9,40,0.0425
5,9,40,ERROR
1,5,30,0.0401
4,5,30,0.0435
6,9,30,0.0427
2,7,40,0.0521
1,9,30,0.0455
7,5,30,0.0456
10,7,30,0.0522
3,5,20,0.0543
1,5,30,0.0428
1,9,40,0.0671
4,9,40,-1
6,7,20,0.0422
1,5,30,0.0391
4,5,20,0.0639
5,9,20,-1
2,7,30,ERROR
5,7,20,0.0425
10,5,20,0.062
9,7,40,0.0473
5,7,40,0.047
6,5,30,0.0392
1,7,30,0.0412
2,5,20,0.0532
1,5,20,0.0605
10,9,40,0.0562
1,7,40,0.0466
7,5,30,0.0423
3,5,20,0.0574
4,9,20,0.0359
7,9,20,0.0256
4,7,30,ERROR
1,9,30,0.0408
7,5,40,0.0349
9,7,40,0.0461
10,7,30,0.04
7,7,40,0.0512
10,9,20,
6,5,40,0.0357
7,9,30,0.0464
5,9,20,0.0308
1,7,40,0.0458
6,9,40,0.0503
3,9,40,0.0633
8,9,30,0.0421
7,9,30,0.0434
7,9,40,0.0592
5,9,20,0.03
7,5,40,0.036
7,7,40,-1
3,7,40,0.0393
1,5,20,0.0468
5,5,40,0.0279
2,9,20,0.0237
4,7,40,0.0526
4,7,40,0.04
7,5,30,0.0298
5,7,20,0.0465
10,9,30,0.0395
9,9,40,0.0558
10,7,40,-1
9,5,30,0.041
1,7,20,-1
9,7,30,0.0513
6,5,20,0.043
4,5,20,0.0565
9,5,20,0.0489
7,5,30,0.0374
3,7,40,-1
10,9,30,0.0463
8,9,20,0.0323
9,5,30,0.0325
3,5,20,ERROR
7,7,20,ERROR
5,5,40,0.0345
10,5,20,0.0581
7,9,20,0.0287
6,7,30,0.0501
8,7,30,0.0461
2,7,20,0.0516
6,7,30,0.0413
10,5,30,0.0292
9,7,30,0.0461
4,9,20,0.0261
7,9,20,0.0332
2,7,40,0.0444
5,9,30,0.043
6,9,30,0.0366
10,9,40,-1
3,5,30,0.0381
3,5,20,0.052
1,5,30,-1
6,5,30,0.0373
3,7,20,0.0457
8,5,40,0.0317
6,5,20,-1
8,7,30,0.0497
5,7,30,0.0357
9,9,30,0.0474
9,5,40,0.0327
1,5,40,0.0339
4,5,40,0.0271
7,7,40,ERROR
8,5,30,0.0342
6,7,40,0.0436
1,9,40,0.0534
8,7,30,0.0481
5,5,40,0.0323
8,5,30,0.0347
5,9,30,0.0418
9,5,40,0.0328
9,9,40,0.0561
10,7,30,0.0442
8,5,20,0.0632
6,9,30,0.0461
4,7,30,0.0443
2,9,30,0.0423
2,9,40,0.065
3,9,40,0.057
5,7,40,0.0394
8,7,20,0.0463
4,9,20,0.0302
7,7,30,
9,5,20,0.0625
9,7,20,
7,7,30,0.0478
3,5,40,0.0357
4,9,30,
8,5,40,0.0324
1,5,20,0.0493
2,7,30,ERROR
10,7,30,0.0371
3,9,20,0.0306
4,9,30,0.0394
2,9,30,0.0529
6,5,40,0.0346
10,7,30,0.0398
1,7,40,
5,5,30,0.0357
1,7,30,0.037
4,9,40,0.0466
9,7,20,0.0418
5,5,20,0.0478
10,9,30,0.0389
2,7,30,0.048
3,9,30,0.0415
4,9,30,0.0466
9,5,20,ERROR
5,5,20,0.0491
3,5,20,0.0631
9,5,40,0.0337
4,5,30,0.0386
10,9,20,0.0305
9,9,20,0.0335
8,5,20,0.0599
6,9,40,0.0525
8,9,40,0.0632
6,5,20,0.0559
2,7,20,0.0413
4,5,40,0.0311
6,7,30,0.0498
9,9,40,0.0501
8,7,40,0.0434
5,7,30,0.042
3,5,40,0.0294
3,9,30,-1
6,5,20,0.0472
2,9,30,0.0477
1,7,20,0.0401
