group,ph,temperature,activity
7,9,40,0.0504
4,5,30,0.0386
6,7,40,0.0506
10,9,40,-1
9,5,30,0.041
10,7,30,0.0522
3,5,30,0.0444
10,5,20,0.0552
8,5,20,0.0441
1,7,40,0.0404
10,5,40,
10,7,40,0.0427
6,5,30,0.0322
4,9,30,0.0484
5,9,30,0.043
6,9,40,0.052
5,5,40,0.0285
2,5,30,0.0389
9,5,30,0.0332
6,9,30,0.0427
1,5,20,0.0468
7,9,30,0.0421
4,9,30,0.0394
9,7,40,0.0461
9,7,30,-1
1,7,40,0.0424
9,9,20,0.0294
1,9,30,0.0455
6,9,30,0.0461
2,5,30,0.0408
1,9,40,0.0534
3,5,40,0.0294
2,7,20,0.0413
2,9,40,0.065
5,7,40,0.0538
9,9,30,0.0477
7,7,30,0.0478
6,7,20,0.0433
8,5,40,0.0317
1,5,40,0.0331
1,7,30,0.0423
3,9,30,0.0437
7,5,20,0.0534
1,5,30,0.0411
2,5,40,0.0351
2,9,20,0.0237
4,9,30,-1
4,9,40,0.0535
8,7,20,0.0426
8,9,30,0.0402
8,9,40,0.0599
3,5,40,0.0357
7,7,40,-1
10,5,40,0.0388
3,9,40,0.0491
6,7,40,0.0436
8,7,40,0.0434
3,7,40,0.0393
2,9,30,0.0423
8,9,30,0.0421
10,9,30,0.0389
5,5,40,0.0279
4,5,30,0.0435
3,5,30,0.0381
5,7,30,0.0357
4,5,40,0.0353
4,7,40,0.04
7,5,20,
5,9,20,0.0309
7,5,30,0.0425
3,5,20,0.0543
6,9,20,0.0288
4,7,30,0.0507
8,7,40,
9,7,20,
10,9,40,0.0562
6,9,40,0.0525
10,9,20,
1,5,40,0.0339
8,5,40,0.0317
3,5,20,ERROR
10,7,30,0.0442
1,9,20,0.0267
7,5,40,-1
10,5,20,0.0547
4,9,30,0.0466
7,9,30,0.0464
9,9,20,0.0352
9,7,40,0.044
4,9,20,0.0261
7,5,20,0.0664
8,9,20,0.0317
8,9,30,0.0417
3,7,20,0.0457
7,7,20,
4,5,20,0.0547
3,7,30,0.0525
7,9,30,0.0434
1,5,20,0.0605
3,9,40,
1,5,30,0.0391
10,5,30,0.0362
8,7,40,0.0384
7,7,20,0.0411
2,9,30,0.0529
8,5,30,0.0384
2,5,40,0.034
3,7,20,0.0476
9,7,40,
7,7,20,0.0519
6,5,20,0.0559
2,7,40,0.0444
6,7,40,0.045
4,9,40,0.0558
8,7,30,0.044
1,7,30,0.037
4,7,20,0.0372
3,5,40,0.0286
2,7,30,0.048
10,5,40,0.0278
6,5,20,0.0479
8,9,20,0.0287
3,5,40,
1,7,20,0.0401
4,9,20,0.0356
1,5,20,ERROR
2,7,20,0.0478
3,5,40,0.0362
1,7,30,0.05
3,5,30,0.0338
1,5,30,-1
1,7,20,-1
7,5,30,0.0456
10,9,30,0.0537
10,9,20,0.0313
6,9,30,0.0366
4,9,20,0.0302
5,7,40,0.0464
1,7,20,0.039
3,5,20,0.0631
9,5,20,0.0585
8,9,40,0.0551
10,7,30,0.0398
5,7,40,0.047
3,9,40,0.0603
8,9,40,0.0593
8,7,40,0.0447
5,7,20,0.048
9,9,40,0.0425
5,9,40,ERROR
9,7,30,0.0402
8,9,30,0.0379
4,7,30,0.0443
4,7,40,
9,7,40,0.0473
9,9,40,0.0501
1,7,20,0.0452
3,9,40,0.0633
6,5,30,0.038
9,5,20,0.0499
3,9,20,0.0283
8,9,20,0.0317
9,7,20,0.0419
6,7,30,-1
3,5,20,0.052
10,7,20,0.0587
10,5,20,ERROR
5,9,30,0.0384
5,7,20,0.0423
8,7,30,0.0461
4,9,40,-1
9,9,30,0.0377
1,7,20,0.0462
10,5,30,0.0459
5,9,40,0.0582
9,7,30,0.0513
3,7,20,0.0498
7,9,30,0.0453
7,7,30,-1
4,5,30,0.0373
2,7,30,ERROR
8,9,40,0.0632
5,5,30,ERROR
4,7,30,ERROR
2,5,20,0.0532
8,7,30,0.0497
3,9,20,0.0306
8,5,30,0.0321
8,5,20,0.0632
1,9,30,0.0408
8,7,20,0.0426
5,7,40,0.0504
4,5,30,0.0377
9,5,20,0.0625
4,7,30,0.0434
2,7,20,ERROR
10,7,30,0.04
10,9,30,0.0431
5,9,30,0.0384
9,7,20,ERROR
7,5,40,0.0351
7,5,30,0.0298
2,7,40,0.0397
8,5,20,0.0599
6,7,30,0.0395
10,9,20,0.0288
1,7,40,
5,5,20,0.0553
8,9,20,0.0298
2,9,20,0.0328
5,9,20,0.0231
2,7,20,0.0516
7,5,30,0.0423
6,5,20,0.0472
7,9,40,0.0569
8,5,40,0.0324
3,5,20,0.0574
10,9,40,0.0468
9,7,30,0.0461
2,7,40,0.0521
2,5,20,0.0462
2,5,20,0.05
7,7,30,
7,7,40,0.0451
5,5,20,0.0491
7,9,20,0.0293
8,9,40,-1
2,5,20,ERROR
5,9,20,0.03
2,9,40,0.0571
8,7,20,0.0423
5,5,40,0.0345
5,7,20,0.0425
5,9,30,0.0418
1,7,40,0.0458
10,7,40,0.0404
9,9,40,0.0558
2,7,30,0.048
3,7,30,0.0486
2,9,30,0.0398
9,9,30,0.0422
2,9,30,0.0509
9,9,20,0.0293
6,9,20,0.0273
2,5,40,0.0284
7,9,40,0.0547
1,5,40,0.0335
3,7,30,0.044
7,5,40,0.036
3,7,40,0.0425
5,7,40,0.0394
1,7,40,0.0466
6,5,40,0.0357
4,7,20,0.0434
10,7,20,0.0434
9,5,30,0.0398
3,9,30,0.0449
10,5,30,0.0292
5,7,30,0.0426
7,9,20,0.0305
1,9,30,0.0416
8,5,40,0.0312
3,7,20,0.0378
8,5,20,0.0635
10,9,40,ERROR
9,9,40,0.0561
8,7,40,0.0501
4,7,40,-1
4,7,40,0.0446
1,9,40,0.0589
4,7,30,0.0493
1,5,20,0.0493
2,5,40,0.0305
5,5,30,0.0401
4,5,40,0.0355
6,9,40,0.0532
9,9,20,0.0254
1,9,20,0.0307
9,9,20,0.0335
1,9,30,0.047
6,9,20,0.0232
4,7,20,0.0401
6,9,40,0.0448
9,9,30,ERROR
10,5,20,0.062
7,7,20,ERROR
2,9,40,0.064
2,9,20,0.0338
3,7,40,0.0418
7,7,40,0.0512
10,7,20,
8,5,20,ERROR
10,7,40,0.0501
9,7,30,
1,5,20,0.0535
9,7,20,ERROR
5,5,30,0.0394
4,5,20,0.0639
5,9,30,
4,7,20,0.0422
