group,ph,temperature,activity
3,5,30,0.0338
9,7,20,0.0419
5,7,30,0.0456
8,7,30,0.0481
4,7,30,0.0443
6,9,30,0.042
5,5,20,0.0553
8,5,30,0.0321
10,7,20,
4,7,40,0.0526
8,5,20,0.0632
9,5,20,0.0499
4,5,20,0.0498
4,5,30,0.0377
5,7,30,0.0357
7,7,20,0.0461
2,7,20,0.0516
5,7,30,0.042
1,9,20,-1
8,9,30,0.0379
4,7,20,0.0456
7,7,20,
7,7,40,0.0512
5,5,20,0.0478
2,7,30,0.048
4,9,40,-1
1,9,30,0.047
8,7,30,0.044
1,9,30,0.0455
2,5,30,0.0303
1,5,20,0.0605
4,5,40,0.0311
10,9,30,0.0431
8,9,40,0.0551
5,5,20,0.0563
8,5,20,0.0635
8,7,40,0.0501
2,5,30,0.0389
6,7,40,0.0506
6,7,40,0.045
7,5,30,0.0374
1,5,30,0.0428
1,5,30,0.0401
10,9,20,0.0313
4,5,30,0.0435
10,5,20,0.0547
1,7,40,
10,7,40,0.0427
10,9,40,0.0562
1,9,30,0.0504
6,5,30,0.0322
3,9,40,0.057
10,9,30,0.0389
5,9,30,0.043
8,9,40,0.0593
5,9,30,
3,7,20,0.0498
2,9,30,0.0529
4,5,40,0.0271
3,5,40,0.0362
10,5,30,0.0292
5,7,30,0.0426
3,5,40,
6,9,20,0.0273
6,5,40,0.0327
1,7,20,-1
6,5,20,-1
10,5,40,0.0278
4,7,20,0.0401
9,9,30,0.0474
7,9,40,0.0592
4,7,30,0.0507
10,9,20,0.0288
1,5,40,0.0331
7,9,20,0.0287
9,7,40,0.044
2,9,40,0.055
4,7,40,0.0446
8,5,20,0.0599
6,5,20,0.0479
9,5,40,0.0314
5,9,20,0.0231
9,5,20,0.0489
4,7,30,0.0434
2,7,40,0.0521
9,7,20,0.0418
10,7,40,
3,7,20,0.0476
10,5,30,0.0362
9,7,20,
8,5,40,0.0317
10,7,30,0.04
3,9,40,0.0491
3,7,20,0.0419
7,5,20,
6,7,40,0.0425
5,5,20,
1,9,40,0.0671
5,9,30,0.0418
10,7,30,0.0371
1,7,40,0.0466
2,5,20,ERROR
4,5,40,0.0284
2,7,20,0.0478
9,9,20,0.0352
9,7,30,0.0402
4,9,40,0.0535
6,9,20,-1
7,9,20,0.0332
9,7,30,
3,9,30,0.0379
1,9,20,0.0307
8,5,30,0.0347
8,9,20,0.0317
7,9,20,0.0293
7,5,30,0.0425
8,7,20,0.0463
1,5,20,0.0468
6,5,30,0.038
7,9,30,0.0464
3,7,40,0.0418
7,5,40,-1
2,7,40,0.0444
5,7,40,0.0504
10,7,40,0.0404
8,7,20,0.0426
2,9,30,0.0477
10,9,20,
10,7,30,0.0442
5,5,40,0.0345
8,7,40,
3,5,20,0.0543
7,9,20,0.0256
7,5,30,0.0456
5,5,40,0.0279
4,7,20,0.0372
5,9,40,0.057
10,5,40,
4,5,20,0.0565
3,7,40,-1
4,9,20,0.0309
1,9,30,0.0416
10,5,40,0.0281
4,9,20,0.0302
9,5,30,0.0379
1,7,30,0.037
3,7,40,0.0393
5,5,40,0.0285
6,9,30,0.0366
8,9,40,-1
7,7,40,-1
7,9,40,0.0546
2,9,20,0.0338
5,5,30,0.0401
7,7,30,0.0478
1,9,20,0.0305
2,9,30,0.0509
10,5,20,0.0581
4,9,20,0.0261
2,5,40,0.0284
7,5,30,0.0298
9,7,30,0.0461
10,7,20,
1,5,40,0.0339
7,9,40,0.0547
6,5,30,0.0373
1,9,20,0.0303
5,5,30,ERROR
2,7,30,0.048
10,5,40,0.035
5,5,30,0.0394
6,5,40,0.0392
1,7,40,0.0458
2,7,40,0.0408
6,5,20,0.043
8,7,40,0.0434
8,7,30,0.0456
9,5,20,ERROR
9,5,30,0.0398
4,7,40,-1
3,5,30,0.0338
9,7,40,0.0473
1,9,40,0.0504
5,7,40,0.0538
3,7,40,0.0425
8,5,40,0.0315
5,7,40,0.0394
4,7,30,0.0493
3,7,30,0.0486
1,7,40,0.0404
5,9,20,0.0309
8,5,20,ERROR
5,9,40,ERROR
10,9,30,0.0463
6,5,20,0.0559
3,5,30,0.0334
6,7,20,0.043
8,7,30,0.0497
7,5,20,0.0664
2,5,20,0.05
7,5,20,ERROR
9,7,20,ERROR
7,7,40,0.0451
10,9,20,0.0333
9,9,20,0.0254
9,9,30,ERROR
3,5,40,0.0286
4,9,30,-1
2,9,20,0.0328
2,5,20,0.0659
8,9,30,0.0421
8,7,40,0.0384
8,5,30,0.0381
7,9,30,0.0483
8,7,40,0.0447
5,7,40,0.047
3,9,30,0.0449
1,5,40,0.0308
1,7,20,0.039
2,9,30,0.0423
8,9,20,0.0317
1,9,40,0.0534
5,5,20,0.0491
1,9,30,0.0408
2,5,30,0.0368
4,5,20,0.0633
5,5,30,
8,9,30,0.0417
5,9,40,0.0529
7,7,40,ERROR
10,5,20,0.062
3,9,40,0.0603
3,7,30,0.044
6,9,30,0.0427
6,9,40,0.0448
3,5,20,0.052
1,7,30,0.0412
8,5,40,0.0317
2,5,40,0.0305
