group,ph,temperature,activity
7,5,30,0.0423
2,5,40,0.0305
8,5,30,0.0347
10,7,30,0.0398
1,9,30,0.0408
4,5,40,0.0284
10,5,20,0.062
6,9,30,0.0461
5,9,40,0.0529
8,5,40,0.0317
4,9,40,0.0571
8,7,20,0.0426
2,5,30,0.0303
7,9,30,0.0483
9,7,20,ERROR
4,9,30,0.0484
8,9,20,0.0317
4,7,30,0.0507
10,7,30,0.0371
6,9,20,0.0303
2,9,20,0.0237
8,7,30,0.044
1,7,30,0.0464
7,7,20,0.0519
7,5,20,-1
7,9,40,0.0592
2,7,20,0.0478
3,7,30,0.0429
2,7,30,ERROR
4,5,40,0.0311
7,7,20,ERROR
2,9,30,0.0477
9,9,20,0.0335
4,7,30,0.0443
8,5,20,0.0599
6,7,20,0.043
10,9,20,0.0305
5,9,30,0.0418
4,9,20,0.0309
9,9,40,0.0543
8,9,40,-1
8,9,30,0.0379
3,5,20,ERROR
10,5,30,0.0362
3,5,30,0.0444
3,5,40,0.0357
8,7,20,0.0426
9,7,40,0.0473
1,5,30,0.0391
6,7,20,0.0401
1,7,40,
3,7,30,0.0486
7,7,20,0.0461
6,9,20,0.0273
6,7,20,0.0422
1,9,40,0.0504
7,5,40,0.0351
10,9,20,0.0333
5,5,30,
10,9,20,0.0288
2,5,30,0.0368
4,7,40,0.0446
7,9,20,0.0287
2,7,30,ERROR
2,9,30,0.0423
1,7,20,0.0462
8,5,40,0.0324
8,5,40,0.0317
7,7,30,0.0478
8,5,20,0.0441
6,9,30,0.042
5,7,30,0.0515
1,5,40,0.0335
3,5,20,0.0543
7,7,20,
2,5,20,0.0532
1,5,20,0.0605
10,5,30,0.0459
2,5,20,0.0462
4,9,30,
5,7,20,0.0423
2,5,40,0.0303
5,7,40,0.0504
5,7,20,0.0465
10,7,40,0.0404
2,5,40,0.0284
5,9,40,0.057
3,7,40,-1
9,7,30,-1
3,5,40,0.0294
7,7,40,-1
2,7,20,0.0516
1,9,40,0.0671
10,5,40,0.0388
7,9,20,0.0332
7,5,20,0.0534
4,9,40,0.0558
3,9,20,0.0283
4,9,30,0.0394
7,9,20,0.0305
1,9,20,0.0305
2,9,40,0.055
4,9,20,0.0359
9,5,30,0.041
9,5,30,0.0398
10,5,30,0.0326
3,5,20,0.0631
1,5,20,0.0535
5,7,20,0.048
3,9,20,0.0247
4,7,40,0.0526
1,9,40,0.0534
4,5,20,0.0547
6,7,30,0.0413
8,7,30,0.0481
9,7,20,0.0419
3,7,20,0.0476
3,7,30,0.044
5,7,40,0.0538
4,5,20,0.0498
1,7,30,0.05
10,9,40,ERROR
4,7,30,ERROR
10,9,30,0.0537
7,9,30,0.0434
6,9,40,0.0503
8,7,40,0.0434
5,5,20,
7,5,40,-1
5,9,30,
3,5,30,0.0334
10,7,30,0.0522
2,7,40,0.0444
6,5,40,0.0346
1,9,40,0.0589
10,7,20,
4,5,40,0.0353
7,7,30,-1
2,5,20,0.05
10,5,30,0.0409
7,9,30,0.0453
3,9,30,0.0415
4,5,30,0.0373
3,5,20,0.052
9,9,30,0.0377
5,9,20,0.03
1,7,30,0.0412
6,5,30,0.0392
5,9,30,0.0384
5,5,20,0.0563
7,9,30,0.0464
4,9,20,0.0356
3,7,40,0.0425
1,5,30,-1
7,5,20,ERROR
8,7,40,
6,5,30,0.0373
10,7,20,0.0448
3,7,30,0.0462
5,5,40,0.0337
2,7,40,0.0408
10,9,40,0.0562
2,7,30,0.048
5,5,20,0.0491
4,9,40,-1
4,9,30,-1
10,5,20,0.0552
4,5,40,0.0355
9,7,30,0.0513
3,9,30,0.0437
8,7,30,0.0497
10,9,20,
1,7,40,0.0404
2,7,30,0.047
5,5,40,0.0285
3,9,20,0.0302
5,9,40,0.0582
10,7,20,
4,5,40,0.0271
9,5,20,0.0489
6,7,30,0.0501
5,7,30,0.0426
4,9,40,0.0535
6,7,40,0.0506
10,5,20,0.0581
7,7,30,
4,9,20,0.0302
5,9,30,0.043
4,9,20,0.0261
10,7,40,-1
7,7,20,0.0411
2,7,20,0.0413
9,5,40,0.0328
9,7,20,0.0418
7,5,30,0.0374
9,9,30,ERROR
6,9,30,
7,5,30,0.0298
5,9,20,0.0308
9,9,30,0.0474
10,9,20,0.0313
3,7,20,0.0498
3,5,40,0.0362
2,7,20,ERROR
4,7,40,-1
3,5,40,0.0286
5,7,20,0.043
9,7,30,0.0461
10,7,30,0.0442
8,5,30,0.0342
10,5,40,
8,9,20,0.0323
3,5,40,
5,5,30,0.0357
8,9,40,0.0632
9,9,30,0.0422
1,7,40,0.0466
4,5,30,0.0386
1,7,20,0.039
9,7,40,ERROR
5,5,40,0.0323
4,5,20,0.0565
1,5,30,0.0428
9,9,20,0.0254
9,9,40,0.0561
2,9,40,0.065
6,7,40,0.0441
3,9,40,0.0633
9,7,40,
1,9,40,0.0629
6,5,40,0.0357
10,7,20,0.0434
1,7,40,0.0458
3,7,20,0.0419
5,7,30,0.0456
2,5,20,0.0659
10,9,40,0.0468
2,7,20,0.0495
5,7,40,0.0394
9,9,20,0.0352
1,5,30,0.0401
1,5,20,0.0468
3,5,30,0.0338
10,9,40,-1
10,5,30,0.0292
9,5,40,0.0337
9,9,40,0.0425
7,7,40,0.0512
8,7,40,0.0384
3,7,30,0.0525
6,9,30,0.0427
9,9,40,0.0501
6,5,20,0.0472
6,5,20,-1
6,5,40,0.0338
6,9,40,0.052
6,9,40,0.0448
6,5,30,0.0322
6,9,40,0.0525
1,7,20,0.0452
3,7,20,0.0457
9,9,40,0.0558
4,5,30,0.0377
7,9,20,0.0293
6,7,40,0.0425
7,9,30,0.0421
1,5,30,0.0411
10,5,40,0.035
9,5,20,ERROR
1,5,40,0.0331
9,7,30,0.0402
8,7,30,0.0461
10,7,30,0.04
7,5,20,
9,9,30,0.0477
8,7,40,0.0447
5,7,40,0.047
8,9,30,0.0415
7,5,40,0.029
3,7,20,0.0378
5,9,40,0.0599
2,7,40,0.0521
2,9,40,0.064
8,7,20,0.0413
3,9,40,
3,9,40,0.0603
1,7,40,0.0424
7,5,40,0.036
6,5,40,0.0327
3,7,40,0.0418
6,7,40,0.045
7,7,30,0.0421
7,7,40,0.0451
6,7,20,0.0449
9,5,30,0.0379
2,9,30,0.0509
8,9,40,0.0599
8,9,40,0.0593
5,5,30,ERROR
4,9,30,0.0466
