group,ph,temperature,activity
8,9,40,-1
4,5,30,0.0372
9,9,30,0.0477
9,9,30,0.0377
9,9,20,0.0294
2,7,20,0.0495
1,7,20,-1
9,9,40,0.0561
8,5,30,0.0321
4,7,30,ERROR
10,7,30,0.04
4,5,40,0.0353
8,5,40,0.0324
3,7,30,0.044
3,7,40,0.0393
4,5,20,0.0633
4,9,20,0.0359
8,5,20,0.0441
2,9,40,0.055
7,7,20,0.0519
9,9,40,0.0558
5,7,30,0.042
7,7,30,0.0421
2,9,20,0.0297
10,5,30,0.0459
3,7,30,0.0429
8,7,30,0.044
1,5,40,0.0308
8,9,40,0.0632
8,7,20,0.0463
3,9,20,0.0283
2,7,30,ERROR
2,5,40,0.0303
6,9,30,0.0366
10,5,30,0.0326
1,5,40,0.0339
3,5,20,0.0543
3,9,40,0.057
4,5,20,0.0498
1,5,20,ERROR
9,7,30,0.0461
7,7,40,-1
7,5,40,0.029
5,7,20,0.043
5,7,20,0.0423
5,5,20,0.0553
6,9,30,
10,5,20,0.0581
4,9,40,0.0535
6,9,40,0.0503
6,5,30,0.038
10,7,30,0.0398
7,5,30,0.0425
2,9,40,0.0571
6,5,40,0.0357
5,5,20,0.0478
6,5,30,0.0322
8,7,40,0.0434
2,9,40,0.0601
1,9,30,0.0416
1,7,30,0.05
9,7,40,0.0461
8,7,40,0.0447
2,7,40,0.0408
8,9,20,0.0323
4,9,30,0.0484
10,9,40,0.0621
1,9,30,0.047
8,9,20,0.0317
2,7,20,ERROR
6,5,40,0.0392
8,5,30,0.0384
7,5,40,0.0351
10,5,40,0.0278
7,9,30,0.0483
1,7,20,0.039
9,9,40,0.0543
1,7,30,0.0423
10,5,20,0.062
3,9,20,0.0306
9,7,30,0.0513
10,9,30,0.0537
4,7,40,0.0446
3,5,40,0.0357
3,5,20,0.0631
7,5,40,-1
6,7,30,-1
7,5,20,-1
5,7,30,0.0456
7,9,20,0.0256
4,7,30,0.0443
3,5,40,0.0286
10,7,20,0.0448
8,7,30,0.0461
3,9,30,0.0437
6,5,40,0.0327
5,7,40,0.047
6,9,20,0.0303
8,5,40,0.0317
2,5,20,0.0532
9,7,40,ERROR
10,7,20,
6,7,40,0.0425
3,7,40,0.0418
2,9,30,0.0398
8,5,30,0.0342
3,7,20,0.0457
7,7,40,0.0395
