group,ph,temperature,activity
8,5,40,0.0315
3,9,20,0.0283
10,9,40,-1
5,5,40,0.0345
9,9,20,0.0335
4,9,30,-1
1,5,20,0.0535
6,9,40,0.0525
5,7,20,0.048
10,5,40,0.0281
6,5,30,0.038
6,9,20,0.0232
7,9,30,0.0453
4,7,30,ERROR
8,7,40,
2,5,30,0.0303
3,9,40,
6,7,30,0.0498
2,9,30,0.0423
4,7,40,-1
7,9,40,0.0547
4,7,40,
2,7,30,0.048
10,5,30,0.0362
7,5,40,0.0351
4,9,40,0.0558
7,9,40,0.0546
5,9,40,0.0582
6,9,30,
2,5,40,0.0284
2,7,30,ERROR
10,9,20,0.0305
10,5,20,0.0547
6,7,20,0.0422
9,7,30,
6,9,30,0.0427
1,7,30,0.0464
8,7,40,0.0434
3,5,40,0.0362
6,9,30,0.0461
2,7,40,0.0521
5,9,20,-1
2,7,30,0.048
5,5,20,0.0553
5,5,20,0.0491
1,5,30,-1
2,5,30,0.0408
8,9,30,0.0415
1,5,40,0.0335
2,5,20,ERROR
3,9,40,0.0491
2,5,20,0.0532
10,5,40,
1,5,20,0.0468
6,7,20,0.0401
2,9,40,0.0601
8,7,20,0.0426
10,7,20,0.0448
7,9,30,0.0464
6,5,20,0.0559
6,7,20,0.0433
3,5,30,0.0444
1,7,20,0.0401
2,7,20,0.0478
3,9,20,0.0285
5,5,40,0.0285
7,9,20,0.0293
7,5,20,
3,5,30,0.0334
3,9,20,0.0247
9,7,30,0.0402
8,5,20,ERROR
3,5,20,0.052
2,5,30,0.0368
8,7,40,0.0501
9,7,20,0.0419
8,7,20,0.0463
7,5,30,0.0456
1,7,40,0.0404
5,7,20,0.0425
8,9,20,0.0298
5,9,20,0.03
3,7,20,0.0419
7,7,40,-1
2,9,30,0.0529
1,9,30,0.0504
5,5,40,0.0279
4,5,30,0.0435
8,9,40,0.0551
7,7,30,0.0478
10,7,40,0.0427
10,7,30,0.0442
1,9,20,0.0307
8,5,20,0.0635
9,5,20,ERROR
3,7,40,0.0393
5,9,40,ERROR
10,7,40,0.0501
7,5,30,0.0374
7,7,20,ERROR
4,9,40,0.0466
1,7,30,0.05
9,5,20,0.0585
9,5,30,0.041
4,7,40,0.0526
6,7,30,0.0501
8,9,40,0.0593
3,5,30,0.0381
7,7,20,
2,5,40,0.034
8,5,30,0.0321
3,7,30,0.0429
5,5,20,
5,9,30,0.0418
8,7,30,0.0481
8,5,40,0.0317
8,7,40,0.0447
8,5,40,0.0317
9,7,30,0.0513
8,7,20,0.0426
3,5,20,0.0631
6,7,30,0.0413
3,9,20,0.0302
9,9,40,0.0561
2,7,20,ERROR
6,9,40,0.0448
4,5,30,0.0372
3,7,40,0.0418
7,7,20,0.0411
9,9,30,0.0477
10,5,40,0.0388
7,9,40,0.0592
4,9,40,-1
2,7,20,0.0495
3,9,40,0.057
1,5,20,0.0605
1,9,30,0.0408
4,7,30,0.0507
1,5,20,ERROR
4,5,20,0.0633
3,5,40,0.0286
9,7,40,
10,7,40,0.0404
10,7,40,
7,7,40,0.0512
1,5,30,0.0428
4,7,20,0.0434
5,9,30,
7,7,30,0.0453
10,5,40,0.035
2,5,30,0.0331
4,5,40,0.0355
5,5,30,ERROR
10,5,20,ERROR
4,5,30,0.0386
1,9,40,0.0589
4,7,30,0.0443
1,5,40,0.0308
2,9,30,0.0509
7,7,30,
9,9,40,0.0543
2,9,20,0.0328
9,9,30,0.0422
1,7,20,0.039
2,5,40,0.0305
5,7,40,0.0504
8,7,20,0.0413
2,5,30,0.0389
4,7,40,0.0446
7,7,20,0.0519
1,7,20,0.0452
6,7,20,0.043
10,5,30,0.0292
10,5,30,0.0326
8,7,30,0.0461
4,5,20,0.0639
6,5,20,-1
9,9,30,0.0377
4,5,40,0.0271
1,9,20,0.0303
4,9,30,0.0484
9,5,40,0.0321
4,7,20,0.0401
5,5,40,0.0323
8,9,20,0.0287
8,7,30,0.044
6,5,30,0.0333
6,5,20,0.0472
3,7,30,0.0486
1,7,20,0.0462
8,5,20,0.0599
8,9,30,0.0402
5,7,30,0.0357
3,5,30,0.0338
9,5,40,0.0327
8,9,20,0.0317
9,5,30,0.0379
6,7,20,0.0449
8,9,20,0.0323
2,7,30,ERROR
9,7,20,ERROR
5,7,40,0.0464
7,5,20,0.0534
9,9,20,0.0254
8,9,30,0.0379
9,9,40,0.0558
9,9,40,0.0501
6,9,30,0.0366
1,9,30,0.047
3,7,20,0.0378
4,9,40,0.0571
10,9,40,0.0468
5,9,20,0.0308
6,5,30,0.0373
2,9,20,0.0237
1,9,40,0.0671
5,5,30,0.0394
4,9,20,0.0261
5,7,20,0.0423
1,7,40,
5,7,30,0.0515
9,9,20,0.0352
7,5,20,ERROR
10,9,40,0.0621
2,7,40,0.0397
1,9,40,0.0534
5,7,40,0.047
2,7,20,0.0516
6,9,40,0.0532
6,7,30,-1
10,7,20,0.0434
5,9,30,0.043
5,9,40,0.0529
5,9,20,0.0231
4,5,30,0.0373
9,9,40,0.0425
5,5,20,0.0478
10,7,20,0.0587
9,5,40,0.0337
4,5,20,0.0498
1,7,30,0.0423
4,5,40,0.0284
4,9,20,0.0359
7,5,20,0.0664
5,5,30,0.0401
2,5,20,0.0659
10,9,30,0.0389
6,7,40,0.0506
1,7,30,0.037
7,7,20,0.0461
4,5,40,0.0353
10,9,40,ERROR
7,9,40,0.0504
4,9,20,0.0302
4,9,40,0.0535
5,7,40,0.0394
1,5,40,0.0339
2,9,30,0.0477
3,5,30,0.0338
9,5,30,0.0325
8,5,30,0.0347
2,9,20,0.0297
6,9,20,0.0303
8,9,40,-1
6,7,40,0.0441
8,7,20,0.0423
1,9,30,0.0455
8,7,40,0.0384
9,9,20,0.0294
4,9,30,
7,7,40,0.0451
2,9,40,0.065
5,7,30,0.0456
8,7,30,0.0456
5,9,30,0.0384
10,7,30,0.04
8,5,30,0.0381
10,9,20,
10,5,20,0.0552
4,7,30,0.0493
5,7,20,0.043
9,9,30,ERROR
6,5,40,0.0392
6,5,20,0.043
7,7,30,0.0421
7,5,40,-1
9,7,30,0.0461
5,7,30,0.042
9,9,30,0.0474
3,7,20,0.0457
4,5,40,0.0311
6,5,30,0.0392
9,7,20,ERROR
5,7,30,0.0426
2,5,40,0.0351
10,7,30,0.0398
4,7,30,0.0434
3,7,30,0.044
10,7,30,0.0371
3,9,30,-1
