group,ph,temperature,activity
8,7,20,0.0463
10,7,20,
5,9,20,0.0308
6,5,40,0.0327
8,9,40,0.0593
5,7,30,0.0426
8,5,30,0.0384
7,5,20,
9,9,20,0.0293
7,9,20,0.0287
5,9,40,0.0582
2,5,30,0.0408
3,9,30,0.0449
6,7,30,0.0413
2,7,20,0.0413
1,9,20,0.0305
4,5,40,0.0311
2,9,40,0.0571
7,7,20,0.0461
7,5,20,0.0664
9,7,30,
3,5,40,0.0294
2,9,30,0.0398
8,7,20,0.0423
8,7,30,0.0456
4,5,30,0.0372
3,5,20,ERROR
6,5,40,0.0338
2,7,30,ERROR
1,9,20,0.0307
6,7,30,0.0501
8,9,30,0.0379
5,9,40,0.057
5,9,40,0.0529
10,7,20,0.0448
9,7,40,0.0473
1,5,40,0.0335
8,9,40,0.0632
3,5,40,0.0286
7,7,30,0.0453
4,7,20,0.0372
2,5,30,0.0368
3,5,30,0.0381
3,7,30,0.044
9,9,40,0.0561
9,5,20,ERROR
5,5,40,0.0323
9,9,40,0.0425
4,5,40,0.0271
3,9,20,0.0306
10,5,30,0.0409
4,7,20,0.0422
3,7,20,0.0498
9,7,20,
10,5,30,0.0292
6,5,20,0.0559
8,7,40,0.0501
1,5,40,0.0331
9,7,30,0.0461
4,7,30,0.0507
3,5,40,0.0357
9,7,40,ERROR
1,9,30,0.0504
2,5,20,ERROR
6,9,20,-1
4,9,20,0.0359
8,5,30,0.0381
5,5,30,
9,7,20,0.0419
7,9,20,0.0293
2,9,30,0.0529
8,9,20,0.0317
9,5,30,0.0398
2,9,30,0.0509
7,5,40,0.0349
5,7,30,0.0515
7,9,40,0.0569
7,9,20,0.0256
4,7,20,0.0434
10,7,30,0.0398
5,9,40,ERROR
1,7,40,0.0458
3,9,30,0.0379
6,9,30,0.0366
3,7,40,-1
4,5,40,0.0355
5,9,30,0.043
1,9,20,-1
9,7,30,-1
2,7,40,0.0481
2,7,20,ERROR
4,9,30,
10,9,30,0.0463
5,9,30,0.0384
7,9,30,0.0464
7,5,30,0.0423
3,5,20,0.052
2,5,20,0.0462
1,5,20,0.0605
6,7,20,0.0401
1,7,20,0.0462
9,7,40,
10,5,40,
2,5,40,0.0303
4,7,40,0.04
9,5,30,0.0332
2,7,20,0.0495
1,5,20,ERROR
3,9,40,
9,7,20,ERROR
5,7,30,0.0456
2,9,20,0.0237
1,7,30,0.05
2,7,30,0.048
6,9,40,0.0532
1,9,20,0.0267
1,7,30,0.0423
1,7,30,0.037
2,7,30,0.048
3,9,30,0.0437
8,7,30,0.044
10,9,40,-1
6,9,40,0.0448
2,7,40,0.0444
4,5,30,0.0373
1,7,30,0.0412
6,5,40,0.0357
4,7,30,0.0493
5,7,40,0.0504
10,7,20,0.0434
10,7,30,0.0442
6,9,40,0.0525
7,9,30,0.0434
10,9,40,0.0562
6,7,40,0.0425
5,7,20,0.048
2,5,40,0.0284
7,7,20,ERROR
