group,ph,temperature,activity
3,7,30,0.0429
1,5,30,0.0401
3,5,30,0.0338
2,5,30,0.0368
3,9,20,0.0302
9,5,30,0.041
1,5,20,0.0468
7,5,40,0.029
4,5,30,0.0372
3,7,40,0.0425
7,9,30,0.0464
4,9,40,0.0535
8,9,40,0.0593
7,9,40,0.0504
6,5,20,0.043
8,9,30,0.0421
3,5,30,0.0334
8,5,30,0.0381
2,7,30,0.048
3,7,20,0.0378
1,9,20,0.0303
8,5,40,0.0324
4,9,30,-1
10,9,40,0.0621
1,9,40,0.0504
10,9,40,ERROR
6,9,40,0.0503
3,9,30,0.0437
6,7,30,0.0413
7,7,30,0.0453
1,5,30,0.0391
7,5,30,0.0425
8,5,30,0.0384
1,7,20,-1
5,9,40,ERROR
4,5,30,0.0386
4,9,20,0.0302
5,5,40,0.0345
3,7,20,0.0498
1,5,40,0.0308
3,9,20,0.0306
9,5,20,0.0499
1,9,20,0.0307
2,9,20,0.0263
7,7,20,ERROR
8,9,40,-1
4,5,20,0.0633
1,7,40,0.0458
8,9,30,0.0417
9,5,30,0.0332
10,5,30,0.0409
5,5,40,0.0337
6,9,20,-1
5,7,20,0.043
3,5,20,ERROR
6,9,30,
2,9,30,0.0398
4,5,20,0.0547
9,9,40,0.0561
6,9,20,0.0232
4,5,40,0.0353
4,7,40,0.0446
10,5,40,0.0281
3,5,40,0.0362
2,9,30,0.0509
6,5,40,0.0357
7,9,30,0.0453
1,9,20,0.0305
8,5,30,0.0342
10,5,30,0.0292
4,7,20,0.0456
2,5,20,0.0532
2,9,20,0.0328
10,9,30,0.0395
3,5,40,0.0286
5,7,30,0.042
5,9,20,0.03
9,5,30,0.0325
7,9,40,0.0592
2,7,40,0.0444
5,7,20,0.0423
10,5,20,ERROR
1,9,20,-1
5,7,20,0.0425
3,9,30,-1
5,7,20,0.048
8,5,20,0.0599
7,5,20,ERROR
3,5,30,0.0338
5,7,20,0.0465
7,5,40,0.036
7,7,30,0.0421
2,7,20,ERROR
10,7,40,0.0427
3,5,40,0.0357
3,9,20,0.0283
5,7,40,0.0394
6,9,40,0.0525
10,9,20,0.0333
7,7,40,0.0395
3,7,30,0.044
9,5,30,0.0398
10,9,40,-1
7,7,20,
7,5,30,0.0374
4,5,30,0.0377
7,5,30,0.0456
6,7,30,-1
4,9,30,0.0484
5,9,30,0.0418
2,5,40,0.0284
9,9,20,0.0254
8,9,40,0.0551
8,7,30,0.0497
9,5,40,0.0321
10,7,40,
5,7,30,0.0357
4,5,20,0.0498
7,9,20,0.0287
6,5,20,0.0559
4,5,30,0.0435
7,7,20,0.0519
10,5,30,0.0326
10,5,40,0.0388
9,9,20,0.0335
8,9,40,0.0599
6,5,40,0.0392
10,7,30,0.0371
3,7,20,0.0419
8,7,20,0.0423
5,9,40,0.0582
9,7,40,0.044
9,9,30,0.0474
9,9,20,0.0352
8,7,20,0.0463
6,7,20,0.0433
1,7,20,0.0462
3,9,40,
7,7,40,-1
5,5,30,0.0401
4,7,30,0.0434
6,5,30,0.0333
6,5,40,0.0346
1,7,30,0.037
2,9,20,0.0297
2,5,40,0.034
4,5,40,0.0311
10,7,40,-1
9,9,40,0.0501
10,5,20,0.0552
10,7,20,0.0434
2,5,30,0.0389
8,7,40,0.0501
2,9,40,0.065
1,9,40,0.0671
5,5,20,0.0478
9,9,40,0.0543
3,5,30,0.0381
3,5,40,
5,5,20,
7,5,40,0.0349
8,7,40,0.0384
3,9,30,0.0415
7,9,20,0.0332
9,7,20,0.0418
1,5,20,ERROR
4,9,40,0.0558
1,7,20,0.0401
6,9,30,0.0366
1,5,30,-1
10,7,30,0.04
6,7,20,0.0449
1,9,30,0.0408
10,5,40,
2,9,40,0.0601
2,5,40,0.0351
6,5,20,0.0472
2,7,30,ERROR
9,5,40,0.0328
6,7,40,0.0436
2,7,20,0.0478
3,9,40,0.057
7,5,20,-1
10,9,20,0.0305
1,9,30,0.0455
5,7,40,0.0464
5,5,30,
8,7,30,0.0481
1,7,20,0.039
4,7,30,0.0493
6,7,40,0.0441
10,7,40,0.0404
10,7,30,0.0442
5,9,40,0.057
3,5,20,0.052
5,5,20,0.0491
9,7,30,
5,9,30,0.043
2,9,30,0.0477
5,9,30,0.0384
4,7,30,ERROR
10,9,20,0.0313
10,9,20,
3,7,40,0.0393
6,9,20,0.0288
1,7,30,0.0464
4,7,20,0.0434
4,5,30,0.0373
10,7,20,
8,5,20,0.0635
2,9,30,0.0529
7,7,40,0.0451
8,5,40,0.0315
6,7,30,0.0395
4,9,40,0.0571
