group,ph,temperature,activity
10,7,20,
9,7,40,
4,7,20,0.0401
8,7,40,0.0447
5,5,30,ERROR
6,5,30,0.038
7,5,20,0.0534
4,9,40,0.0535
3,9,30,0.0379
1,7,40,0.0458
1,7,30,0.037
7,5,20,0.0664
4,9,20,0.0309
8,5,20,0.0441
2,5,30,0.0331
2,5,40,0.034
4,7,20,0.0456
2,7,30,ERROR
1,9,30,0.0408
1,7,20,0.0462
2,7,40,0.0397
7,7,40,0.0451
2,9,30,0.0509
3,5,20,0.0543
9,9,20,0.0294
3,5,20,0.0574
6,9,40,0.0448
6,7,40,0.045
5,7,40,0.0504
1,5,20,0.0535
8,9,30,0.0379
2,7,40,0.0481
8,5,40,0.0317
10,7,20,0.0448
10,9,40,0.0562
4,9,40,0.0466
7,5,40,0.036
1,5,40,0.0339
3,5,30,0.0381
3,7,40,0.0436
9,7,40,0.0473
6,7,30,0.0498
4,5,20,0.0565
7,9,20,0.0256
5,9,40,0.057
8,5,30,0.0381
2,5,20,0.0532
7,9,40,0.0569
4,7,40,0.04
9,9,30,0.0377
3,7,40,0.0393
5,7,20,0.0465
8,9,20,0.0298
6,7,40,0.0425
2,9,20,0.0338
2,9,40,0.064
1,7,30,0.0464
6,9,20,0.0232
4,9,20,0.0261
6,9,30,0.0427
6,5,30,0.0333
10,9,20,0.0333
3,7,30,0.0525
8,7,40,
9,5,40,0.0328
3,7,30,0.0486
4,9,30,
5,5,30,0.0394
10,9,40,-1
9,5,30,0.0332
5,7,40,0.0464
3,9,30,0.0415
7,7,30,-1
5,5,20,0.0563
1,9,20,-1
2,9,20,0.0328
9,7,40,0.044
10,5,20,0.0552
3,9,20,0.0302
1,5,20,0.0468
9,9,40,0.0561
7,5,30,0.0374
3,5,20,ERROR
9,7,40,0.0461
7,5,40,0.029
3,9,20,0.0283
5,9,30,0.0384
2,5,30,0.0303
2,5,20,0.0462
6,9,40,0.052
8,9,20,0.0287
6,9,30,0.0461
10,9,20,0.0288
2,9,40,0.0601
3,7,30,0.0462
4,7,40,-1
8,7,30,0.0497
6,9,40,0.0503
9,9,20,0.0293
8,9,20,0.0317
10,7,40,0.0427
9,7,20,ERROR
10,5,40,0.0281
10,7,30,0.0522
4,5,30,0.0377
2,5,20,0.0659
10,7,20,0.0587
8,9,30,0.0417
2,9,20,0.0237
7,9,30,0.0434
8,5,40,0.0315
7,5,20,
7,9,40,0.0546
9,7,20,ERROR
3,9,20,0.0247
8,5,40,0.0324
1,5,30,0.0391
2,5,30,0.0408
8,9,40,0.0599
9,9,30,ERROR
2,5,20,0.05
4,9,20,0.0356
1,9,40,0.0504
6,9,20,0.0273
3,5,30,0.0334
9,9,20,0.0254
9,5,40,0.0327
7,7,40,0.0395
1,7,20,0.039
7,5,40,0.0349
10,5,40,0.0388
6,5,40,0.0346
7,7,40,ERROR
7,5,20,ERROR
9,5,40,0.0321
8,7,30,0.0481
2,5,20,ERROR
9,9,20,0.0352
10,9,40,0.0621
8,5,40,0.0317
9,9,30,0.0477
1,9,30,0.0504
3,9,40,0.057
1,9,40,0.0534
10,7,30,0.04
4,5,30,0.0435
1,9,20,0.0303
6,7,20,0.043
8,5,20,ERROR
2,7,40,0.0521
8,5,30,0.0384
4,7,20,0.0434
3,5,20,0.052
7,7,20,0.0461
4,5,40,0.0353
1,7,30,0.0412
4,7,30,0.0493
9,7,30,
8,7,30,0.044
6,7,20,0.0433
8,5,30,0.0321
10,5,20,0.0547
8,7,30,0.0456
8,9,40,0.0593
1,5,20,0.0493
1,9,30,0.047
1,7,20,-1
4,7,40,0.0446
3,7,30,0.044
1,9,30,0.0416
9,9,30,0.0422
2,7,20,0.0413
7,9,40,0.0547
7,5,30,0.0456
4,9,40,0.0558
5,9,30,
3,5,40,0.0357
5,9,20,0.03
7,7,20,0.0411
5,9,30,0.0384
9,7,20,0.0418
6,5,20,-1
4,9,20,0.0302
9,5,30,0.0325
1,7,40,
7,7,40,-1
5,5,20,0.0491
2,5,40,0.0351
3,9,40,0.0603
6,5,30,0.0392
5,5,40,0.0285
5,9,20,0.0309
6,5,30,0.0373
4,5,20,0.0639
4,9,40,-1
10,9,30,0.0389
6,9,40,0.0525
1,7,20,0.0401
2,5,30,0.0368
8,7,20,0.0423
9,5,20,0.0499
