group,ph,temperature,activity
9,5,30,0.0379
8,5,40,0.0324
8,9,30,0.0421
4,5,40,0.0355
1,9,30,0.0504
7,5,20,0.0534
8,5,20,ERROR
2,9,20,0.0297
9,5,30,0.041
8,7,20,0.0426
9,5,20,0.0585
4,7,40,0.04
6,9,20,0.0288
2,7,40,0.0408
7,9,40,0.0592
8,9,40,0.0593
7,7,30,0.0453
9,7,40,0.0473
3,5,20,0.0631
6,7,40,0.0425
7,5,30,0.0456
5,9,40,0.0582
9,9,30,0.0477
9,9,40,0.0561
3,5,30,0.0338
2,9,20,0.0237
5,7,40,0.0464
4,5,40,0.0284
2,9,20,0.0338
8,9,20,0.0323
7,9,40,0.0546
2,7,30,0.047
10,9,40,0.0468
10,5,40,0.035
1,7,20,0.039
10,7,30,0.04
4,5,30,0.0372
2,7,40,0.0397
2,9,30,0.0398
7,7,30,0.0421
5,7,40,0.047
2,9,30,0.0529
9,5,30,0.0325
1,5,30,0.0428
3,9,20,0.0247
6,9,30,0.0427
6,9,30,0.042
2,7,40,0.0444
9,5,40,0.0337
8,9,30,0.0379
1,7,40,0.0424
6,9,20,0.0232
2,5,20,ERROR
6,9,30,0.0366
7,5,20,-1
7,9,20,0.0287
6,9,40,0.052
6,7,40,0.045
8,7,30,0.0497
5,5,30,0.0401
3,7,30,0.044
3,5,20,0.0574
9,7,30,0.0461
5,5,40,0.0323
1,9,40,0.0504
4,5,40,0.0353
5,9,20,0.0231
5,5,40,0.0345
10,7,40,
9,5,20,0.0499
3,7,40,0.0393
4,5,30,0.0435
6,9,40,0.0532
6,7,20,0.0433
5,5,30,
5,7,40,0.0394
5,7,20,0.0423
10,7,40,0.0404
1,5,40,0.0335
7,7,40,-1
6,5,30,0.0333
4,9,40,0.0466
10,7,40,0.0427
2,5,30,0.0303
8,5,40,0.0312
8,7,30,0.044
8,5,20,0.0599
3,9,30,0.0379
6,5,20,0.0472
3,7,30,0.0462
1,5,30,-1
10,5,40,
9,7,40,0.044
4,9,30,0.0394
5,7,30,0.042
1,7,40,0.0458
4,7,30,0.0493
2,7,20,0.0478
2,9,30,0.0423
4,5,30,0.0377
1,5,20,0.0535
8,7,40,0.0384
10,5,20,0.0581
4,7,30,0.0443
5,5,20,0.0563
6,9,40,0.0525
4,9,20,0.0261
2,9,20,0.0328
4,7,20,0.0434
4,9,20,0.0309
2,5,30,0.0408
3,7,30,0.0429
1,5,20,ERROR
6,7,40,0.0441
1,9,20,0.0267
7,9,40,0.0547
4,7,40,0.0526
9,5,40,0.0314
5,5,20,0.0553
7,7,20,0.0461
8,5,20,0.0632
3,5,40,0.0286
7,7,30,-1
10,5,40,0.0281
6,9,30,
4,5,30,0.0373
5,5,40,0.0279
6,9,40,0.0448
7,5,40,-1
8,9,40,0.0551
9,5,30,0.0398
3,9,40,0.0491
2,9,40,0.0601
5,9,30,0.0384
9,9,40,0.0543
9,7,40,
3,9,40,
5,9,40,0.0599
1,5,40,0.0331
10,9,30,0.0389
7,9,30,0.0453
1,7,30,0.05
5,5,40,0.0337
10,7,20,
9,9,20,0.0335
3,7,40,-1
6,5,20,0.043
8,5,40,0.0317
7,7,40,0.0451
5,7,30,0.0357
8,5,40,0.0315
9,5,20,ERROR
8,9,40,0.0632
5,9,30,0.0384
7,7,20,0.0519
3,9,40,0.057
