Snail mass M (g),Height L (mm)
6.708956877,25.72345653
5.281695443,24.04590503
4.240001658,22.07267438
2.968999859,26.75642546
3.149807067,22.2084881
4.428041571,24.14428592
9.693375065,29.64111295
7.723644642,29.13881526
8.63990231,28.67865425
3.931519329,17.68547138
8.756866379,28.25903887
7.829678523,24.61105391
4.981228584,21.68323736
9.237324074,27.21440672
6.554240599,26.74317605
7.637993185,25.79432718
6.24903585,27.9021315
3.095571634,16.76791673
7.371287515,30.72465908
5.716007785,26.77691804
6.684114253,26.32620801
2.011553814,19.64267453
3.338683631,22.42829669
2.582430677,22.67031506
2.652409606,19.1933998
3.153123548,26.17169095
6.564498958,28.31447645
5.948551023,27.42662334
3.31074997,20.56956035
5.2542093,23.31505285
5.363707426,21.02243036
2.587741511,24.35380064
2.062273089,19.80375229
5.978419676,26.31455106
6.303462964,27.36894964
8.127213603,30.65331979
9.43650104,31.1160227
5.192836372,25.61376167
7.319858455,26.57956381
7.742922156,29.80342962
9.047003911,29.0400861
9.972470229,31.45131364
5.398660534,24.17050882
6.648772476,27.36807029
9.789087766,29.4142948
7.711235223,26.90060511
5.727455166,26.13326391
3.590293816,14.38389403
7.7732614,27.36156798
7.84488017,28.48543893
8.284473088,25.89835639
3.254946166,23.16569613
7.142234097,25.77745895
4.282077992,28.70741348
9.554450563,32.80168186
7.457513467,28.41584566
8.513785727,31.87821603
3.3579385,25.01011608
8.784202961,25.55871214
7.723056318,25.05790136
2.888712347,21.25466825
2.87554937,19.72114476
3.994295785,22.68371697
6.533847061,26.57958027
9.24941982,33.95823749
7.109858416,21.73152474
9.543700178,31.61333431
6.040880251,29.5138282
4.600395505,24.41308388
5.79454248,22.08621938
8.933948647,30.28354791
2.836204655,23.61910372
4.401457655,25.14340443
9.02298376,31.32359643
4.84509258,21.29028964
2.891173713,21.30621966
9.542463939,33.26568511
7.948050718,28.70862475
9.526604272,28.49354355
6.368843696,29.25595078
2.273068341,23.60089256
9.231142531,27.39231251
3.041439644,15.96798451
3.657500266,22.19565691
3.504735114,24.4826459
4.419030462,18.46059957
4.230129519,16.37028817
7.845561908,28.42722594
7.230461955,25.56961015
6.250941747,29.00247093
6.811421436,26.68864511
7.513001697,24.19527291
6.46694893,27.48289304
3.239975092,22.12370481
6.415261037,31.14141431
3.056003799,24.34305325
2.191526567,18.07414772
4.22742793,19.27562916
6.488935188,26.32695144
2.967528446,23.10508683
7.479162973,25.69010637
2.924989514,23.22824229
9.22918639,29.96757001
3.113535157,21.75222319
8.231127337,31.50802593
7.074364032,23.35321119
4.575286824,21.84057773
5.623553019,25.2482282
7.851370307,30.25847807
5.929488454,21.00037996
6.213138338,26.66579362
4.966355742,25.41450707
4.630733664,24.4230146
8.86554192,29.42342743
8.45294232,33.88526645
2.612660775,23.77581777
4.271577157,23.02790855
2.674353418,22.46442605
4.389696992,14.31932103
2.94940457,18.36509594
8.940239109,29.54400852
4.753302748,24.4300227
2.134565363,11.19200435
7.599391208,23.87446699
8.251268905,27.68631421
5.384979237,26.42355111
2.772687441,15.61151868
2.281374076,13.7960862
3.593375903,24.72436154
2.115114094,19.9074724
6.504680068,23.93731098
3.130143191,16.90814806
5.139293355,21.48005476
4.276912042,22.93958195
5.488753959,23.0003834
5.388601864,22.04024779
8.851568753,30.6169009
4.891690289,20.95313905
5.736654154,28.85470985
7.687575742,26.23094282
5.953540682,27.16889637
9.5180844,30.82192429
2.315446959,18.50841632
4.823594593,26.81930672
9.06334421,24.0442572
8.310498195,29.25237068
5.488053121,24.67120971
8.857004508,29.91994772
9.922326888,34.5746656
4.297289026,25.49369272
5.241227999,24.19581906
6.816107,25.60455721
8.242958537,28.07864237
4.423023433,27.90771577
7.362400084,28.20630124
9.690874717,31.67492181
4.021496896,24.66092313
6.155097757,20.82957548
5.140495993,24.43729269
3.034311143,12.35648537
