Snail mass M (g),Height L (mm)
9.44776318,30.44761352
3.706272258,21.70588819
7.812088828,30.53263874
4.147346701,23.71830367
6.590083603,28.23776864
4.865496277,24.29788149
2.177147142,20.03977032
4.532907858,19.77846976
4.982677926,26.70871241
9.138589741,24.56566832
2.388092935,18.03048173
9.377568333,30.49640664
4.28606074,26.31303044
7.217453021,23.77552792
7.226438959,26.93870083
8.91438561,27.40532818
2.583423516,16.22429654
7.623480371,29.86181363
4.191774972,17.69756786
7.022143125,25.20822088
3.254886444,19.65409721
9.371942535,33.96893338
3.87467135,23.59181303
4.266245096,20.47049484
9.592846495,31.45471404
9.092176525,27.60227861
3.873385704,15.35902678
6.771436608,24.20507769
5.289649089,24.79166426
3.791964873,17.23107751
5.602825725,25.82561984
6.765673806,27.97472821
9.32275068,28.35673905
6.327320242,28.31380735
7.920241235,31.38701189
6.501151438,29.93509841
2.620406932,20.07221212
4.027993899,11.40115103
3.105177878,21.91886835
3.56422663,22.51462664
5.350457472,26.83368887
8.181134261,25.87620072
8.547637673,29.23998434
4.165591354,23.40515847
8.766369284,26.72415257
2.306715873,20.78799312
8.851568753,30.6169009
2.772687441,15.61151868
9.06334421,24.0442572
4.103311472,20.58809383
4.023365263,25.14238835
3.759819751,25.16682819
5.916290639,20.50845558
7.344444115,27.20884464
4.643726745,26.94782548
4.226925697,26.31672701
5.606107441,27.26412004
2.823558084,14.11906766
4.649141818,26.7600993
2.726599534,19.399918
3.054297069,21.34482736
7.681626304,26.07473864
7.491719141,27.84123565
2.61822644,21.05220421
3.892347596,16.1075376
5.773545389,26.45871027
4.024120609,25.24204568
6.46694893,27.48289304
9.380808575,28.96454909
7.553949239,24.72762802
8.922657641,30.84463264
4.211727248,21.91134989
7.335126023,26.61637731
3.278292609,22.70942755
9.726002541,31.98056452
7.256583983,25.20638352
8.567227045,27.15381741
8.272536173,30.09932844
6.24903585,27.9021315
7.094940999,26.20592876
5.43446457,25.22625863
8.45294232,33.88526645
6.282179932,24.88751987
8.061542965,26.99656963
4.430886541,22.99354118
6.750372134,28.83296482
4.387179174,26.48470183
6.536396605,25.4289993
9.22918639,29.96757001
3.900511363,22.57842773
8.717659621,28.25430644
6.854475616,25.63926537
9.603307468,32.15281444
9.410451241,29.5071923
9.999483041,30.06123761
4.638766461,21.671469
8.240619407,26.35103331
7.754192631,30.8373131
4.894135024,28.77529283
5.939742625,29.97127343
5.709871621,29.54031286
4.35831216,28.40472225
5.748225696,22.51965976
6.620492447,26.76929703
4.536603552,22.7293804
5.524409963,22.84701729
4.462090307,23.58970376
5.799886885,24.81036538
4.680598712,24.74672137
6.11148478,24.77745592
8.049027935,29.86167813
7.868092117,26.73914728
6.725393175,22.50605098
6.058390286,22.77308403
4.048791372,21.93675734
4.567113216,29.31903033
7.395439541,28.13896012
3.517713616,23.04065798
3.902068162,14.23236397
5.889968821,27.14763363
3.607834113,24.52048762
2.575140299,12.65055021
3.76558091,25.50346063
3.937870407,24.95977392
3.543560963,13.32339287
2.454324613,25.4487352
5.295633966,21.73000403
3.238118362,22.05415955
7.793764219,27.95644342
4.837017943,28.38268452
7.283006052,23.75228592
2.601001624,20.31974031
5.395419687,24.56537136
3.844349867,21.50606579
2.467562225,19.65356286
3.793176818,14.32103557
3.65355676,25.64997084
7.421651944,25.41106788
3.811450656,17.43813244
7.601817495,28.28313791
5.02999736,22.20613633
3.114849353,24.29327159
2.448784956,14.7067783
7.50016591,25.20810245
6.949614961,25.58119762
6.055901408,25.38596911
3.840994653,24.94182369
6.197929615,24.08239021
8.300169146,29.98575273
2.051314751,27.50957979
3.842063006,24.63296762
6.575915221,23.67249753
9.121999234,27.2101911
2.391128078,21.01133863
4.038831687,23.75671612
5.6343618,24.03681368
4.094877584,19.79634027
8.147443424,28.70534757
8.943446473,27.58744879
4.152038019,26.68923163
