Snail mass M (g),Height L (mm)
3.316600385,20.56770164
6.41472498,25.15356838
2.712141768,15.9935784
9.48570324,28.32712411
6.852662881,29.91479629
2.872310476,25.22250079
6.005719908,25.1842142
5.953540682,27.16889637
9.037237165,25.91776118
6.574589368,26.68252045
4.680598712,24.74672137
7.292365075,29.92223677
7.317183956,28.2105788
4.566066559,20.60740368
5.6343618,24.03681368
3.511643727,26.57231412
6.415261037,31.14141431
5.395526868,26.71595725
6.024911918,28.10840992
3.227553827,17.5623784
9.775653787,30.73940169
5.980435685,27.80655565
8.23934213,27.83448114
6.620492447,26.76929703
3.504735114,24.4826459
8.181134261,25.87620072
6.804097562,27.11230395
7.623480371,29.86181363
8.501101419,26.46480194
7.561658186,26.7078343
3.153123548,26.17169095
8.810382082,28.41474936
6.487942963,27.54617425
7.851069481,24.82781808
6.816391836,29.83716512
8.63990231,28.67865425
6.372659039,28.99044834
7.102726039,24.20287323
5.79454248,22.08621938
3.858143279,23.28317856
9.44776318,30.44761352
5.913667317,29.84555745
2.029695557,16.35210903
4.575278868,22.54257368
5.449022478,25.29603135
7.308779917,28.19964716
8.641049747,30.39815293
9.169200423,29.76196914
8.536627338,24.58231756
8.940239109,29.54400852
2.726599534,19.399918
8.378389877,24.74323472
7.866297449,29.06209754
8.264868725,28.67919235
4.567113216,29.31903033
4.419030462,18.46059957
2.003879365,24.6967639
5.929488454,21.00037996
6.746653837,27.04603197
2.674353418,22.46442605
2.182727998,12.33336238
5.931147417,26.77021605
2.37111164,15.95849006
3.174838796,19.23500312
2.748455341,21.26882319
5.836867841,32.40360735
3.522740611,23.64457696
5.809072038,28.06851813
6.184943496,24.41264807
4.651440017,22.30899055
7.026494096,29.39141002
4.414331283,20.9418498
6.117061201,24.12065711
2.176530203,23.24830411
4.235598593,22.03992998
3.092765186,24.432466
6.052464062,27.28452284
7.568766613,29.95345139
6.4845673,26.74618822
6.912935493,25.16919476
3.004163804,19.58189386
7.920241235,31.38701189
4.09440345,21.65154687
4.048162871,16.54269089
6.951184443,26.3886699
5.265483752,24.83109337
9.134351657,30.96974989
6.453145597,28.17149836
4.820060656,22.70203788
2.294348437,19.73947421
9.794914573,31.68632242
8.509277046,28.02470954
9.789087766,29.4142948
6.222106936,22.10580486
6.175656542,28.629951
5.874498819,26.60611618
9.483619162,30.92130765
5.902786564,25.65983725
2.08262834,19.38379929
2.471664017,24.29557357
4.072729709,24.27791905
3.239975092,22.12370481
7.793764219,27.95644342
3.121853167,17.32428131
3.922879692,15.31751144
9.281173018,28.69941483
3.593375903,24.72436154
7.036300564,28.84371853
6.368843696,29.25595078
2.052648655,15.73910075
4.379386911,26.24073256
5.097785812,23.15644969
3.957578826,19.89724883
3.11940095,13.98663744
5.953315398,21.83603319
3.000134621,15.9462152
2.07405803,20.67158465
8.002667173,29.47242041
2.10673207,15.30368286
4.880025613,25.94677799
2.147308724,22.87772838
5.392685043,26.85174973
7.079268036,28.98487021
5.914357198,23.4759816
6.419715372,22.85340719
7.137698525,29.18043731
7.958616999,31.37769895
2.411278141,17.19163871
3.761381987,22.68927816
8.851568753,30.6169009
2.994944086,14.30608678
3.013192413,17.55697581
4.025976465,20.93658843
7.540683766,27.32556247
9.944628698,29.59393106
4.981228584,21.68323736
4.165591354,23.40515847
3.920992973,26.67927722
3.054297069,21.34482736
6.021813854,25.22661062
3.033601004,21.22212174
4.198051144,23.15520026
3.900511363,22.57842773
5.845433617,28.1036012
4.429488102,19.41490654
4.577139647,26.62242202
4.600395505,24.41308388
8.443184969,26.69630034
9.756006942,28.28325357
3.149807067,22.2084881
7.431514679,26.6670661
6.491146984,28.10113611
9.714061612,30.79667087
2.583423516,16.22429654
2.115114094,19.9074724
7.73865426,29.80521644
5.36631624,22.65722868
9.052059754,25.98096483
8.490738623,30.33513069
6.022905055,22.40558498
