x,y
5.452772454603311303e+01,1.162811066510013461e+03
4.116886508751587570e+01,1.224179639873048473e+03
3.967905386808149615e+01,6.365340419628796553e+02
2.878367496875295117e+01,5.896788320845159888e+02
3.618236941644187965e+01,4.670626669691547477e+02
3.469305988174912869e+01,3.317281597008538370e+02
2.935054885391988222e+01,2.585124314279051987e+02
2.036965812355194316e+01,1.514153129492459868e+02
1.585242085436326320e+01,1.024490900353761305e+02
1.459048074892595537e+01,6.816308258911087137e+01
1.358863167560016727e+01,4.945665627647329643e+01
1.642898043540511921e+01,4.726792948669965000e+01
1.142977767058714988e+01,2.874909718079200616e+01
1.286498932802859585e+01,2.630459466343463149e+01
1.274806538250220633e+01,2.091853359910621180e+01
1.880591938274337238e+01,2.082597972323972257e+01
2.061340924097348903e+01,2.299724110956518430e+01
2.424473563414407806e+01,2.529006884191887750e+01
4.437336792489349335e+01,2.619877631119021899e+01
4.416212783525532615e+01,2.085360745311164976e+01
5.133882307675157364e+01,1.866213300767629590e+01
8.528366205606286599e+01,2.366605060782605463e+01
1.034002150409551035e+02,2.060638712015381557e+01
1.009356933355300043e+02,1.938298345436718506e+01
1.263718574604507268e+02,2.624374816372918673e+01
1.576712975063911415e+02,2.719342779038438351e+01
2.638492186951156100e+02,2.304044079900161179e+01
2.040215248190282580e+02,3.021216008890961291e+01
1.550701085124335918e+02,3.359939017388408189e+01
2.077615428898710661e+02,5.695029387667968024e+01
1.872352600791486452e+02,7.166070987019219274e+01
1.537099582399817166e+02,1.337082275364245731e+02
1.189814957292514208e+02,1.280261648906271432e+02
8.724673790973466225e+01,2.586547015797179938e+02
1.115057263230775675e+02,2.501762896193373820e+02
6.657153289178677369e+01,4.192434322677027012e+02
8.615578005063819944e+01,6.720635102910565593e+02
7.462726650753853619e+01,7.019966578847961500e+02
6.810448780304740524e+01,1.182730300046629736e+03
5.938239890763453843e+01,1.193871120671523386e+03
2.191135556237522053e+01,4.631445912266231971e+03
3.780089768421103003e+01,3.697263979335820750e+03
3.309615077969424135e+01,4.627940681944223797e+03
3.689065294301040154e+01,4.196477048686361741e+03
4.542673761638008045e+01,4.479582269668305344e+03
6.038291409570455670e+01,5.079259663470122177e+03
4.353068831936199246e+01,3.543554023184923608e+03
5.984140817611977781e+01,4.706625244360381657e+03
6.070662174540817091e+01,4.436257548269696599e+03
6.180676278423902659e+01,4.118344783221038597e+03
9.985945588238465120e+01,4.018654941508246338e+03
9.380137627225002461e+01,4.486077978367076867e+03
1.145074516749303370e+02,2.445402367573701213e+03
1.354177238660283251e+02,1.218393168484306898e+03
2.569178308750063024e+02,5.910983582481129588e+02
3.359659389806989793e+02,2.911983829681450402e+02
3.574711445059645030e+02,1.141495202819988179e+02
6.010504090812206641e+02,5.721422735300925666e+01
6.309294355768815876e+02,2.545521129737577581e+01
1.020253011399116986e+03,1.104100319067569025e+01
1.175705661426625738e+03,4.464045926982814549e+00
1.631232649361325912e+03,2.956788754026030919e+00
2.018313602773985167e+03,9.874955158169747005e-01
1.808608326107271296e+03,9.408140442482928467e-01
1.653760134691053963e+03,9.966949380786345181e-01
1.497460646863053398e+03,1.115468162338329350e+00
1.379181613754400814e+03,9.840872182978253058e-01
1.228669543561025648e+03,1.067590242530245481e+00
1.561276693127301314e+03,1.105818742006660083e+00
1.375847696137200273e+03,1.023234570795918508e+00
8.360789919519694422e+02,1.144342627004369950e+00
9.275708964515233674e+02,8.225451457976704628e-01
7.480078653919329099e+02,1.212988775548970333e+00
7.342838286587291350e+02,9.966893087891175451e-01
7.308988385820780422e+02,1.178224945469550144e+00
7.317505003155895338e+02,1.237757974741104938e+00
5.233810199323580719e+02,1.358472285817495573e+00
6.764049321872441851e+02,2.037404608144539608e+00
5.321131561171291651e+02,1.987027379665878390e+00
4.176683714554853282e+02,3.287567815992415987e+00
3.834472921440748792e+02,3.213740614960007402e+00
4.000641917734307071e+02,3.822775326880935243e+00
4.255749615002265500e+02,6.182638687934471022e+00
3.631014426807966515e+02,7.812445808600898545e+00
3.373923164110930770e+02,9.271906664112560037e+00
2.369836479450008824e+02,9.069692260148066509e+00
2.224150922352596353e+02,8.226401664123766722e+00
1.492369119390160108e+02,8.556293912076938568e+00
8.892408524515681734e+01,7.119799202311694941e+00
9.034515391405076912e+01,8.874536089459340360e+00
6.414485415098083365e+01,9.547173176467721234e+00
3.264854531507894109e+01,7.562982003701117506e+00
3.013217008333231561e+01,8.927286259527422274e+00
1.909615302236765189e+01,8.802567249839158947e+00
1.703112541289947046e+01,8.025469499360212922e+00
1.176065268905595040e+01,1.002477342785661563e+01
7.930401400648107391e+00,8.009607922995060747e+00
6.051019435145495784e+00,5.749193187012360262e+00
7.186303971160373116e+00,5.289741929219838212e+00
6.952679375282001750e+00,4.246292429333402119e+00
5.228262009348745742e+00,2.934301402516858559e+00
6.227216858472854888e+00,3.402556574201350159e+00
5.928284572227735083e+00,2.288171492871150292e+00
5.343136474048375995e+00,2.198918115606426582e+00
5.063686280312260202e+00,1.686709024325488970e+00
4.897755666895628579e+00,1.541748114486275689e+00
3.292138383113964117e+00,1.106023185310475165e+00
3.324422968918807619e+00,1.044285399007358839e+00
3.697895934713939070e+00,1.131138795834452759e+00
2.765562493288646007e+00,9.016258028104455757e-01
2.544799961324047288e+00,1.236586000349562564e+00
2.475812614548876578e+00,1.258908607520280443e+00
1.663375314992797449e+00,9.627638545112519042e-01
2.138047630545015565e+00,1.137921793656696989e+00
1.482255109273157290e+00,1.108739260320640740e+00
1.725617481667107711e+00,8.470201172784723731e-01
1.103532730065552192e+00,1.211994116217334216e+00
1.073547852612434683e+00,9.386582084178534124e-01
1.060872317452247193e+00,1.030526237127964428e+00
1.253901458400933144e+00,2.460019618560449484e+00
2.011421497778905110e+00,3.989839212626255627e+00
2.300831270176356025e+00,1.290075900674096765e+01
3.337236129428034381e+00,2.047014675951620077e+01
4.176095500574288799e+00,5.415399972952531726e+01
6.066848086857026701e+00,9.773482183024503911e+01
6.829624551897073736e+00,2.474479176406840395e+02
9.146233078940356975e+00,5.713470549764779207e+02
1.209682954994419291e+01,1.099177589149739106e+03
1.718018782414663548e+01,2.447064543716812295e+03
3.115635838510101152e+01,4.367292992973226319e+03
1.627515953363174573e+06,3.598847025702033164e+01
1.427871282221233472e+06,2.693639357902844367e+01
1.382613354835860664e+06,1.845440519494237108e+01
1.502575845603324939e+06,1.361104068026676650e+01
1.315660994262976106e+06,1.109856634115014096e+01
1.415637080293190666e+06,5.943762760990194849e+00
1.790602135698274011e+06,4.099562575343941084e+00
1.445930901330018649e+06,3.483822253071392261e+00
1.772708870856665075e+06,1.946278363002722278e+00
1.612860974253787426e+06,2.059155097263878353e+00
1.707183946520711295e+06,1.297647028020991522e+00
1.511807728260307806e+06,9.192541145887249687e-01
1.026309536271060235e+06,1.058715183017333805e+00
9.799875610514788423e+05,9.963051347879929853e-01
1.063285977725704899e+06,9.637422951821138506e-01
1.007399673406330985e+06,1.008911550101503352e+00
8.231036324853650294e+05,1.141375661498757799e+00
6.575612359430904035e+05,1.097239178360861933e+00
6.275025108070091810e+05,8.319483640155200810e-01
7.737400672014757292e+05,1.111243938133597897e+00
5.309172432279245695e+05,8.980371552112446087e-01
4.436581974759538425e+05,8.805989135886578278e-01
5.737904226687490009e+05,1.678087464489406599e+00
4.220226070877333404e+05,2.171830143861153584e+00
5.074914878752604127e+05,2.992267899743163095e+00
5.969023866166783264e+05,4.611559011790827611e+00
5.675315741492396919e+05,5.508081912696698446e+00
6.003293353656947147e+05,1.152743547287474613e+01
4.708976448702252237e+05,1.378809315460707019e+01
4.806487436664309935e+05,1.885548759329294910e+01
5.777310175063821953e+05,2.833500181876624424e+01
6.406674171332409605e+05,4.173649052225092504e+01
4.120370780255486607e+05,4.064689760582538014e+01
5.646251404491723515e+05,5.277190581945266956e+01
4.572410205517270369e+05,4.377588217035780360e+01
4.091983145737541490e+05,5.027049713714137624e+01
4.430691318746187608e+05,5.417792903370811075e+01
5.876427004432169488e+05,6.241598623351218578e+01
5.670114666819999693e+05,6.775210795343045334e+01
3.998000926583766122e+05,7.311874978615193754e+01
4.146038890616107965e+05,7.485139327431464551e+01
4.047574421420576982e+05,8.287435362312356801e+01
4.148225024454187951e+05,8.172557909197419690e+01
5.100590801101053949e+05,1.200320174942867482e+02
3.718282189323846251e+05,1.081022054445997753e+02
3.643864209845384466e+05,1.135583924058781946e+02
3.803169337207675562e+05,9.940264757560142073e+01
4.176992051457373891e+05,1.397856680894170154e+02
3.749249286086448701e+05,1.577044471165310711e+02
3.241006073405905045e+05,1.469923946157383625e+02
4.179632684324719594e+05,1.329931078444245713e+02
3.885580854813967017e+05,1.863357068518187987e+02
3.869383646717537194e+05,1.921318399409585425e+02
3.633185771602095920e+05,1.859340179079906079e+02
2.969958957932383055e+05,1.902062319435780182e+02
3.178291767857592786e+05,1.799498288961532353e+02
3.096848482867492712e+05,1.545308511262895763e+02
2.506465405769732606e+05,2.340039347617232295e+02
2.456431104791121325e+05,1.805145313249327614e+02
2.668780955809484003e+05,1.965936082854391316e+02
2.890592987275850028e+05,1.860330162518140753e+02
2.285132295133763691e+05,2.189887115766297541e+02
2.353290019300107087e+05,2.664189400059684658e+02
1.967490649589253590e+05,2.037397775361689867e+02
1.817757431282829493e+05,2.777731492016226298e+02
2.115672927858358307e+05,1.899631033343256377e+02
1.873541183076146408e+05,2.615523289416960893e+02
1.659562520660634327e+05,2.256233333855612671e+02
1.472109211992126657e+05,3.046223281268111123e+02
1.616075480859547097e+05,2.270864348510824868e+02
1.665325117811322561e+05,2.054096454840949093e+02
1.534074498385396437e+05,3.099149038882064815e+02
1.067937605070289428e+05,2.069558719769785284e+02
1.118479320612222655e+05,2.512182297731312133e+02
1.398241674394881411e+05,2.409514767944918958e+02
1.119057516245012957e+05,2.342175450718445688e+02
8.950474937154492363e+04,2.705340371586622723e+02
1.136338626395928586e+05,2.983427268179789849e+02
7.639915634751904872e+04,2.820911312953437573e+02
8.793267567152895208e+04,2.853231213024394037e+02
8.975246366580028553e+04,2.643378862464060717e+02
5.600517834310085163e+04,2.701882368676667170e+02
7.448793191812132136e+04,2.742610678543694576e+02
4.889744782457433030e+04,2.538217446955627281e+02
