Order,Family,Genus,Species,Binomial,ActivityCycle,AdultBodyMass_g,AdultForearmLen_mm,AdultHeadBodyLen_mm,AgeatEyeOpening_d,AgeatFirstBirth_d,BasalMetRate_mLO2hr,BasalMetRateMass_g,DietBreadth,DispersalAge_d,GestationLen_d,HabitatBreadth,HomeRange_km2,HomeRange_Indiv_km2,InterbirthInterval_d,LitterSize,LittersPerYear,MaxLongevity_m,NeonateBodyMass_g,NeonateHeadBodyLen_mm,PopulationDensity_n/km2,PopulationGrpSize,SexualMaturityAge_d,SocialGrpSize,TeatNumber,Terrestriality,TrophicLevel,WeaningAge_d,WeaningBodyMass_g,WeaningHeadBodyLen_mm,Unnamed: 35,AdultBodyMass_g_EXT,LittersPerYear_EXT,NeonateBodyMass_g_EXT,WeaningBodyMass_g_EXT,GR_Area_km2,GR_MaxLat_dd,GR_MinLat_dd,GR_MidRangeLat_dd,GR_MaxLong_dd,GR_MinLong_dd,GR_MidRangeLong_dd,HuPopDen_Min_n/km2,HuPopDen_Mean_n/km2,HuPopDen_5p_n/km2,HuPopDen_Change,Precip_Mean_mm,Temp_Mean_01degC,AET_Mean_mm,PET_Mean_mm
Rodentia,Sciuridae,Prosciurillus,rosenbergii,Prosciurillus rosenbergii,-999,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999,-999,-999.0,-999.0,-999,-999,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
Rodentia,Nesomyidae,Hypogeomys,antimena,Hypogeomys antimena,1,1175.93,-999.0,306.34,-999.0,-999.0,-999.0,-999.0,5,-999.0,-999.0,2,0.02,0.02,-999.0,1.26,-999.0,-999.0,-999.0,-999.0,63.33,2.0,729.99,2.0,-999,1,1,-999.0,-999.0,-999,675;899;1045;1048;1297;1573;2152;2333;2655;2672,-999.0,-999.0,-999.0,-999.0,4191.4,-19.68,-20.44,-20.06,45.17,44.45,44.81,4,14.15,4.0,0.2,78.01,247.6,933.42,1567.19
Diprotodontia,Macropodidae,Dorcopsis,muelleri,Dorcopsis muelleri,-999,5370.79,-999.0,678.67,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,1,-999.0,-999.0,-999.0,1.0,-999.0,91.2,-999.0,-999.0,-999.0,-999.0,-999.0,1.0,-999,1,-999,269.23,-999.0,-999,543;955;977;1760;1848;2152;2655,-999.0,-999.0,-999.0,-999.0,63643.38,-0.73,-5.08,-2.9,139.05,129.71,134.38,2,4.61,2.0,0.11,207.48,230.1,1733.61,1817.82
Lagomorpha,Leporidae,Lepus,hainanus,Lepus hainanus,1,1511.67,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999,-999,-999.0,-999.0,-999,989,-999.0,-999.0,-999.0,-999.0,11194.41,19.88,18.63,19.25,110.5,108.76,109.63,128,200.27,128.0,0.09,118.64,228.8,1209.92,1871.62
Primates,Lemuridae,Prolemur,simus,Prolemur simus,2,2030.41,-999.0,370.0,-999.0,-999.0,-999.0,-999.0,4,-999.0,140.0,2,0.62,-999.0,-999.0,1.0,1.0,144.0,-999.0,-999.0,-999.0,4.0,-999.0,7.5,-999,2,2,-999.0,-999.0,-999,543;1015;1046;1048;1544;1545;1546;1547;2041;2151;2344;2655,-999.0,-999.0,-999.0,-999.0,4564.82,-20.65,-22.87,-21.76,47.93,46.77,47.35,8,29.5,8.0,0.19,174.64,189.18,1334.86,1505.26
Primates,Lemuridae,Eulemur,coronatus,Eulemur coronatus,2,1699.85,-999.0,352.27,-999.0,-999.0,-999.0,-999.0,4,-999.0,124.04,2,0.05,-999.0,-999.0,1.53,-999.0,220.8,57.81,-999.0,101.98,-999.0,701.52,6.95,-999,2,2,-999.0,-999.0,-999,543;899;1046;1048;1261;1297;1544;1545;1546;1547;1848;2151;2344;2655,-999.0,-999.0,-999.0,-999.0,5720.16,-12.3,-13.81,-13.06,49.8,48.87,49.33,9,19.4,9.0,0.17,105.09,237.79,1253.32,1527.97
Paucituberculata,Caenolestidae,Caenolestes,fuliginosus,Caenolestes fuliginosus,2,28.64,-999.0,113.02,-999.0,-999.0,-999.0,-999.0,4,-999.0,-999.0,1,-999.0,-999.0,-999.0,3.62,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,4,1,2,-999.0,-999.0,-999,192;193;889;890;955;1297;1612;1760;2655,-999.0,-999.0,-999.0,-999.0,127434.1,9.04,1.17,5.1,-70.78,-76.84,-73.81,5,75.48,7.0,0.09,103.05,188.16,1415.54,1530.66
Rodentia,Dipodidae,Sicista,kluchorica,Sicista kluchorica,-999,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999,-999,-999.0,-999.0,-999,-999,-999.0,-999.0,-999.0,-999.0,18842.52,44.28,42.99,43.63,43.18,40.56,41.87,9,37.76,9.0,0.02,62.89,-3.05,631.7,677.67
Primates,Pitheciidae,Callicebus,pallescens,Callicebus pallescens,-999,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999,-999,-999.0,-999.0,-999,-999,-999.0,-999.0,-999.0,-999.0,93328.33,-16.39,-21.29,-18.84,-57.52,-61.25,-59.39,0,0.63,0.0,0.1,86.34,258.42,1071.44,1315.57
Peramelemorphia,Peramelidae,Perameles,eremiana,Perameles eremiana,2,499.99,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,2,-999.0,-999.0,2,-999.0,-999.0,-999.0,2.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,1,2,-999.0,-999.0,-999,955;1297;1760;2655,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
