Order,Family,Genus,Species,Binomial,ActivityCycle,AdultBodyMass_g,AdultForearmLen_mm,AdultHeadBodyLen_mm,AgeatEyeOpening_d,AgeatFirstBirth_d,BasalMetRate_mLO2hr,BasalMetRateMass_g,DietBreadth,DispersalAge_d,GestationLen_d,HabitatBreadth,HomeRange_km2,HomeRange_Indiv_km2,InterbirthInterval_d,LitterSize,LittersPerYear,MaxLongevity_m,NeonateBodyMass_g,NeonateHeadBodyLen_mm,PopulationDensity_n/km2,PopulationGrpSize,SexualMaturityAge_d,SocialGrpSize,TeatNumber,Terrestriality,TrophicLevel,WeaningAge_d,WeaningBodyMass_g,WeaningHeadBodyLen_mm,Unnamed: 35,AdultBodyMass_g_EXT,LittersPerYear_EXT,NeonateBodyMass_g_EXT,WeaningBodyMass_g_EXT,GR_Area_km2,GR_MaxLat_dd,GR_MinLat_dd,GR_MidRangeLat_dd,GR_MaxLong_dd,GR_MinLong_dd,GR_MidRangeLong_dd,HuPopDen_Min_n/km2,HuPopDen_Mean_n/km2,HuPopDen_5p_n/km2,HuPopDen_Change,Precip_Mean_mm,Temp_Mean_01degC,AET_Mean_mm,PET_Mean_mm
Dasyuromorphia,Dasyuridae,Myoictis,wallacii,Myoictis wallacii,-999,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999,-999,-999.0,-999.0,-999,-999,-999.0,-999.0,-999.0,-999.0,135495.28,-4.57,-8.86,-6.71,143.07,134.09,138.58,1,4.23,1.0,0.22,222.08,267.77,1632.57,1660.74
Rodentia,Cricetidae,Delomys,sublineatus,Delomys sublineatus,3,89.99,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,1,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,1,-999,-999.0,-999.0,-999,905;2655,-999.0,-999.0,-999.0,-999.0,176241.08,-18.28,-26.76,-22.52,-40.14,-49.86,-45.0,10,200.86,15.0,0.05,119.42,200.39,1182.89,1360.55
Rodentia,Caviidae,Galea,spixii,Galea spixii,3,360.61,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,1,-999.0,50.66,2,0.000535015,0.000682344,53.0,2.19,6.75,55.2,33.62,-999.0,-999.0,-999.0,91.47,-999.0,4,1,1,42.09,-999.0,-999,543;1297;1718;2151;2456;2655,-999.0,-999.0,-999.0,-999.0,5441291.73,2.11,-24.49,-11.19,-34.79,-63.25,-49.02,0,32.58,0.0,0.1,132.09,237.59,1160.13,1483.09
Chiroptera,Molossidae,Chaerephon,russatus,Chaerephon russatus,-999,16.98,44.49,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,1,-999.0,-999.0,-999.0,0.99,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,2,-999,-999.0,-999.0,-999,1297;1658;2151;2271;2655,-999.0,-999.0,-999.0,-999.0,1671003.78,7.94,-1.84,3.05,35.92,-1.56,17.17,0,76.66,2.0,0.13,139.02,240.19,1348.94,1576.48
Rodentia,Echimyidae,Makalata,rhipidura,Makalata rhipidura,-999,315.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999,-999,-999.0,-999.0,-999,2655,-999.0,-999.0,-999.0,-999.0,26835.71,-3.04,-4.75,-3.89,-72.58,-74.59,-73.59,1,2.75,1.0,0.12,232.38,265.62,1495.68,1495.68
Chiroptera,Phyllostomidae,Sphaeronycteris,toxophyllum,Sphaeronycteris toxophyllum,-999,16.06,38.49,-999.0,-999.0,-999.0,-999.0,-999.0,1,-999.0,-999.0,1,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,2,1,-999.0,-999.0,-999,196;1658;2151;2622;2655;2719,-999.0,-999.0,-999.0,-999.0,4763066.63,12.19,-16.78,-2.29,-58.55,-75.36,-66.96,0,11.71,0.0,0.14,173.21,245.88,1440.01,1593.99
Carnivora,Viverridae,Genetta,piscivora,Genetta piscivora,1,1648.05,-999.0,456.13,-999.0,-999.0,-999.0,-999.0,1,-999.0,-999.0,2,-999.0,-999.0,-999.0,0.96,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,1,3,-999.0,-999.0,-999,1113;1297;2655,-999.0,-999.0,-999.0,-999.0,222754.63,3.98,-2.75,0.61,29.3,20.27,24.78,1,18.8,2.0,0.18,144.85,236.26,1521.36,1608.43
Diprotodontia,Macropodidae,Petrogale,godmani,Petrogale godmani,-999,4750.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,1,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,1,-999,-999.0,-999.0,-999,1760;2655,-999.0,-999.0,-999.0,-999.0,53365.92,-14.16,-16.96,-15.56,145.48,142.91,144.2,0,0.22,0.0,0.0,101.62,246.55,948.11,1644.24
Cetacea,Ziphiidae,Mesoplodon,peruvianus,Mesoplodon peruvianus,-999,-999.0,-999.0,3719.99,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,1,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999,-999,-999.0,-999.0,-999,164;2151,1061721.24,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
Rodentia,Bathyergidae,Cryptomys,amatus,Cryptomys amatus,-999,76.74,-999.0,-999.0,-999.0,-999.0,48.51,77.0,-999,-999.0,95.0,-999,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999,-999,-999.0,-999.0,-999,248;250;1822,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
