Order,Family,Genus,Species,Binomial,ActivityCycle,AdultBodyMass_g,AdultForearmLen_mm,AdultHeadBodyLen_mm,AgeatEyeOpening_d,AgeatFirstBirth_d,BasalMetRate_mLO2hr,BasalMetRateMass_g,DietBreadth,DispersalAge_d,GestationLen_d,HabitatBreadth,HomeRange_km2,HomeRange_Indiv_km2,InterbirthInterval_d,LitterSize,LittersPerYear,MaxLongevity_m,NeonateBodyMass_g,NeonateHeadBodyLen_mm,PopulationDensity_n/km2,PopulationGrpSize,SexualMaturityAge_d,SocialGrpSize,TeatNumber,Terrestriality,TrophicLevel,WeaningAge_d,WeaningBodyMass_g,WeaningHeadBodyLen_mm,Unnamed: 35,AdultBodyMass_g_EXT,LittersPerYear_EXT,NeonateBodyMass_g_EXT,WeaningBodyMass_g_EXT,GR_Area_km2,GR_MaxLat_dd,GR_MinLat_dd,GR_MidRangeLat_dd,GR_MaxLong_dd,GR_MinLong_dd,GR_MidRangeLong_dd,HuPopDen_Min_n/km2,HuPopDen_Mean_n/km2,HuPopDen_5p_n/km2,HuPopDen_Change,Precip_Mean_mm,Temp_Mean_01degC,AET_Mean_mm,PET_Mean_mm
Carnivora,Viverridae,Viverra,megaspila,Viverra megaspila,-999,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999,-999,-999.0,-999.0,-999,-999,-999.0,-999.0,-999.0,-999.0,1595937.43,22.94,1.26,12.1,109.46,94.19,101.83,2,136.81,8.0,0.09,162.59,242.1,1169.97,1563.69
Diprotodontia,Macropodidae,Onychogalea,unguifera,Onychogalea unguifera,-999,6494.73,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,1,-999.0,-999.0,-999.0,1.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,1,-999,-999.0,-999.0,-999,955;1760;1848;2655;2986,-999.0,-999.0,-999.0,-999.0,1113729.55,-11.11,-19.58,-15.35,144.06,122.13,133.09,0,0.43,0.0,0.003661654,66.62,264.27,740.07,1711.29
Carnivora,Canidae,Vulpes,bengalensis,Vulpes bengalensis,2,2514.4,-999.0,521.66,-999.0,-999.0,-999.0,-999.0,6,-999.0,52.33,1,-999.0,-999.0,365.0,3.49,-999.0,120.0,58.49,-999.0,-999.0,-999.0,-999.0,-999.0,-999,1,2,-999.0,-999.0,-999,543;1113;1297;2655,-999.0,1.1,-999.0,-999.0,3182952.32,32.61,9.94,21.27,90.94,65.77,78.36,2,323.93,40.0,0.09,84.38,244.33,699.36,1422.91
Primates,Cheirogaleidae,Cheirogaleus,ravus,Cheirogaleus ravus,-999,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999,-999,-999.0,-999.0,-999,-999,-999.0,-999.0,-999.0,-999.0,2240.1,-17.45,-18.72,-18.09,49.51,49.1,49.31,28,62.03,28.0,0.16,277.97,222.32,1453.68,1719.12
Chiroptera,Rhinolophidae,Rhinolophus,macrotis,Rhinolophus macrotis,-999,6.18,41.99,-999.0,-999.0,-999.0,-999.0,-999.0,1,-999.0,-999.0,1,-999.0,-999.0,-999.0,0.98,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,2,3,-999.0,-999.0,-999,76;196;679;1297;1439;1658;2151;2655,-999.0,-999.0,-999.0,-999.0,1278790.8,34.77,7.8,21.28,125.2,72.85,99.02,0,172.03,4.0,0.08,131.15,129.96,987.58,1137.55
Chiroptera,Molossidae,Tadarida,teniotis,Tadarida teniotis,-999,28.07,59.99,84.0,-999.0,-999.0,-999.0,-999.0,1,-999.0,-999.0,1,-999.0,-999.0,-999.0,0.98,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,2,3,-999.0,-999.0,-999,679;1297;1658;1860;2151;2622;2655;3110,-999.0,-999.0,-999.0,-999.0,4732754.69,48.73,22.08,35.4,104.53,-18.16,43.18,0,86.8,4.0,0.08,52.12,116.05,450.08,1006.99
Chiroptera,Pteropodidae,Nyctimene,rabori,Nyctimene rabori,-999,68.25,77.0,-999.0,-999.0,365.0,-999.0,-999.0,1,-999.0,138.16,1,-999.0,-999.0,-999.0,1.0,1.0,-999.0,-999.0,-999.0,30.0,-999.0,295.82,-999.0,-999,2,1,105.0,-999.0,-999,899;1314;1439;1658;2017;2151;2655;2885,-999.0,-999.0,-999.0,-999.0,17815.16,12.5,9.03,10.77,124.07,122.38,123.22,97,333.53,103.0,0.08,140.47,258.59,1483.66,1783.72
Chiroptera,Nycteridae,Nycteris,aurita,Nycteris aurita,-999,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999,-999,-999.0,-999.0,-999,-999,-999.0,-999.0,-999.0,-999.0,500257.54,5.86,-12.44,-3.29,40.64,23.92,32.28,1,46.84,2.0,0.16,72.34,228.99,900.27,1524.81
Chiroptera,Rhinopomatidae,Rhinopoma,muscatellum,Rhinopoma muscatellum,-999,9.13,49.99,-999.0,-999.0,-999.0,-999.0,-999.0,1,-999.0,-999.0,1,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,2,3,-999.0,-999.0,-999,679;1658;2151;2622;2655,-999.0,-999.0,-999.0,-999.0,801219.76,33.16,11.73,22.44,79.82,48.1,63.96,0,61.66,3.0,0.16,21.58,202.98,247.42,1346.91
Chiroptera,Vespertilionidae,Vespertilio,sinensis,Vespertilio sinensis,-999,24.3,48.5,-999.0,10.0,-999.0,-999.0,-999.0,1,-999.0,52.14,1,-999.0,-999.0,-999.0,2.0,-999.0,-999.0,2.16,-999.0,-999.0,-999.0,-999.0,-999.0,-999,2,3,34.99,11.47,-999,185;1030;1297;1658;1704;2151;2622;2655,-999.0,-999.0,-999.0,-999.0,738710.66,49.95,21.9,35.92,142.07,108.26,125.16,1,309.79,1.0,0.02,74.05,72.35,660.06,752.01
