Order,Family,Genus,Species,Binomial,ActivityCycle,AdultBodyMass_g,AdultForearmLen_mm,AdultHeadBodyLen_mm,AgeatEyeOpening_d,AgeatFirstBirth_d,BasalMetRate_mLO2hr,BasalMetRateMass_g,DietBreadth,DispersalAge_d,GestationLen_d,HabitatBreadth,HomeRange_km2,HomeRange_Indiv_km2,InterbirthInterval_d,LitterSize,LittersPerYear,MaxLongevity_m,NeonateBodyMass_g,NeonateHeadBodyLen_mm,PopulationDensity_n/km2,PopulationGrpSize,SexualMaturityAge_d,SocialGrpSize,TeatNumber,Terrestriality,TrophicLevel,WeaningAge_d,WeaningBodyMass_g,WeaningHeadBodyLen_mm,Unnamed: 35,AdultBodyMass_g_EXT,LittersPerYear_EXT,NeonateBodyMass_g_EXT,WeaningBodyMass_g_EXT,GR_Area_km2,GR_MaxLat_dd,GR_MinLat_dd,GR_MidRangeLat_dd,GR_MaxLong_dd,GR_MinLong_dd,GR_MidRangeLong_dd,HuPopDen_Min_n/km2,HuPopDen_Mean_n/km2,HuPopDen_5p_n/km2,HuPopDen_Change,Precip_Mean_mm,Temp_Mean_01degC,AET_Mean_mm,PET_Mean_mm
Lagomorpha,Leporidae,Lepus,sinensis,Lepus sinensis,-999,1607.41,-999.0,380.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999,-999,-999.0,-999.0,-999,2;989,-999.0,-999.0,-999.0,-999.0,1081352.24,32.22,20.2,26.21,122.13,104.71,113.42,50,359.67,88.0,0.06,123.32,166.8,1073.83,1120.29
Rodentia,Capromyidae,Mysateles,meridionalis,Mysateles meridionalis,-999,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999,-999,-999.0,-999.0,-999,-999,-999.0,-999.0,-999.0,-999.0,2253.65,21.94,21.43,21.69,-82.54,-83.19,-82.87,32,32.49,32.0,0.06,95.0,250.0,-999.0,-999.0
Chiroptera,Rhinolophidae,Rhinolophus,rex,Rhinolophus rex,-999,-999.0,60.99,-999.0,-999.0,-999.0,-999.0,-999.0,1,-999.0,-999.0,1,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,2,3,-999.0,-999.0,-999,679;1658;2151,32.62,-999.0,-999.0,-999.0,323465.19,31.07,24.5,27.79,110.2,102.21,106.2,56,208.68,88.0,0.06,108.96,144.47,989.59,1042.26
Rodentia,Ctenodactylidae,Felovia,vae,Felovia vae,3,205.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,3,-999.0,-999.0,-999,-999.0,-999.0,-999.0,1.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999,1,-999.0,-999.0,-999,1810;2655,-999.0,-999.0,-999.0,-999.0,151907.23,17.95,13.1,15.53,-10.07,-14.11,-12.09,2,8.67,3.0,0.06,49.5,284.78,501.8,1538.19
Artiodactyla,Cervidae,Muntiacus,reevesi,Muntiacus reevesi,-999,13499.94,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,2,-999.0,214.24,-999,0.12,0.11,215.25,0.98,-999.0,-999.0,1050.0,-999.0,0.67,-999.0,295.12,-999.0,-999,-999,1,-999.0,-999.0,-999,200;653;789;1297;1573;2525;2655;2986;3010,-999.0,1.43,-999.0,-999.0,1767640.73,34.11,20.22,27.17,122.13,104.67,113.4,41,356.66,94.0,0.06,109.52,157.1,1016.93,1071.65
Chiroptera,Molossidae,Chaerephon,ansorgei,Chaerephon ansorgei,-999,-999.0,45.99,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,68.43,1,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,2,-999,72.83,-999.0,-999,1297;1658;2151,14.53,-999.0,-999.0,-999.0,5163213.18,4.78,-28.43,-11.82,37.83,13.39,25.61,0,27.89,2.0,0.16,111.51,226.89,1125.34,1509.98
Artiodactyla,Suidae,Potamochoerus,porcus,Potamochoerus porcus,2,70000.31,-999.0,1369.3,-999.0,-999.0,-999.0,-999.0,5,-999.0,120.0,1,-999.0,-999.0,365.0,3.0,-999.0,240.0,750.0,-999.0,0.23,28.5,1113.7,10.56,6,1,2,-999.0,-999.0,-999,543;645;730;760;904;1297;1848;2180;2629;2655,-999.0,1.1,-999.0,-999.0,5033216.84,13.53,-8.1,2.71,36.11,-16.82,9.64,0,36.82,1.0,0.11,139.7,248.51,1249.23,1567.17
Rodentia,Echimyidae,Trinomys,paratus,Trinomys paratus,-999,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999,-999,-999.0,-999.0,-999,-999,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
Rodentia,Echimyidae,Mesomys,hispidus,Mesomys hispidus,1,175.0,-999.0,184.77,-999.0,-999.0,-999.0,-999.0,3,-999.0,-999.0,1,-999.0,-999.0,-999.0,0.97,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,1.0,-999,2,2,-999.0,-999.0,-999,902;905;1297;2151;2655,-999.0,-999.0,-999.0,-999.0,4398504.11,5.48,-15.36,-4.94,-47.94,-77.68,-62.81,0,2.3,0.0,0.15,179.72,252.14,1414.16,1559.88
Cetacea,Delphinidae,Stenella,attenuata,Stenella attenuata,-999,65733.59,-999.0,2135.0,-999.0,-999.0,-999.0,-999.0,2,-999.0,345.19,1,-999.0,-999.0,1883.55,0.99,-999.0,552.0,10000.0,-999.0,-999.0,509.0,2773.1,-999.0,-999,-999,3,340.66,-999.0,-999,5;29;56;93;172;218;543;890;1217;1297;1577;2151;2655,-999.0,0.48,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
Rodentia,Muridae,Acomys,minous,Acomys minous,-999,62.5,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999,-999,-999.0,-999.0,-999,2655,-999.0,-999.0,-999.0,-999.0,8190.7,35.69,34.92,35.31,26.31,23.52,24.91,0,48.69,0.0,0.02,51.8,163.8,-999.0,-999.0
