SampleID,Location,DateTime,DayOfWeek,Temperature,Moisture,Viable counts
AMS_20231228,Amsterdam,2023-12-28,Thursday,55.0,75.3,156
UTR_20231113,Utrecht,2023-11-13,Monday,68.9,78.5,137
GRO_20230605,Groningen,2023-06-05,Monday,53.2,70.1,153
AMS_20230712,Amsterdam,2023-07-12,Wednesday,59.1,74.3,149
MAA_20240216,Maastricht,2024-02-16,Friday,53.0,72.4,156
MAA_20230823,Maastricht,2023-08-23,Wednesday,57.3,70.6,148
AMS_20240129,Amsterdam,2024-01-29,Monday,58.4,75.2,151
MAA_20230604,Maastricht,2023-06-04,Sunday,57.1,71.6,149
AMS_20240222,Amsterdam,2024-02-22,Thursday,57.9,74.7,150
MAA_20230924,Maastricht,2023-09-24,Sunday,56.4,71.4,150
UTR_20240310,Utrecht,2024-03-10,Sunday,70.0,81.4,137
UTR_20240126,Utrecht,2024-01-26,Friday,70.9,72.0,129
AMS_20240401,Amsterdam,2024-04-01,Monday,60.0,68.9,144
AMS_20230904,Amsterdam,2023-09-04,Monday,57.4,70.1,147
ROT_20230717,Rotterdam,2023-07-17,Monday,60.8,60.0,135
ROT_20230513,Rotterdam,2023-05-13,Saturday,54.0,62.0,148
UTR_20231027,Utrecht,2023-10-27,Friday,69.4,79.5,138
MAA_20240310,Maastricht,2024-03-10,Sunday,59.0,71.3,147
ROT_20240108,Rotterdam,2024-01-08,Monday,59.2,60.4,137
MAA_20231025,Maastricht,2023-10-25,Wednesday,58.8,74.2,149
ROT_20231227,Rotterdam,2023-12-27,Wednesday,55.6,60.6,143
UTR_20230427,Utrecht,2023-04-27,Thursday,71.5,75.2,131
AMS_20230923,Amsterdam,2023-09-23,Saturday,58.1,75.2,151
GRO_20230804,Groningen,2023-08-04,Friday,54.5,69.5,152
ROT_20231021,Rotterdam,2023-10-21,Saturday,55.7,62.0,144
ROT_20240220,Rotterdam,2024-02-20,Tuesday,56.7,63.4,143
MAA_20240327,Maastricht,2024-03-27,Wednesday,58.7,69.9,145
MAA_20230731,Maastricht,2023-07-31,Monday,56.9,72.8,151
AMS_20240327,Amsterdam,2024-03-27,Wednesday,58.9,76.8,151
UTR_20240312,Utrecht,2024-03-12,Tuesday,70.9,74.2,131
GRO_20240315,Groningen,2024-03-15,Friday,56.2,72.2,151
UTR_20231004,Utrecht,2023-10-04,Wednesday,69.9,76.6,134
MAA_20240118,Maastricht,2024-01-18,Thursday,55.6,71.8,152
GRO_20240106,Groningen,2024-01-06,Saturday,53.2,67.7,152
AMS_20230405,Amsterdam,2023-04-05,Wednesday,54.5,73.6,155
MAA_20240319,Maastricht,2024-03-19,Tuesday,53.5,71.5,154
MAA_20230702,Maastricht,2023-07-02,Sunday,55.2,75.1,155
AMS_20240218,Amsterdam,2024-02-18,Sunday,56.6,76.4,154
UTR_20230519,Utrecht,2023-05-19,Friday,71.3,73.0,130
GRO_20240209,Groningen,2024-02-09,Friday,51.6,68.2,154
ROT_20230804,Rotterdam,2023-08-04,Friday,58.2,61.5,141
MAA_20231006,Maastricht,2023-10-06,Friday,59.4,74.5,149
GRO_20240324,Groningen,2024-03-24,Sunday,53.5,69.2,153
AMS_20230808,Amsterdam,2023-08-08,Tuesday,56.8,72.9,151
MAA_20230524,Maastricht,2023-05-24,Wednesday,56.8,72.5,151
UTR_20230816,Utrecht,2023-08-16,Wednesday,72.9,77.1,131
AMS_20230611,Amsterdam,2023-06-11,Sunday,59.5,73.2,147
AMS_20231029,Amsterdam,2023-10-29,Sunday,54.7,76.4,157
MAA_20231217,Maastricht,2023-12-17,Sunday,59.8,72.4,146
MAA_20240312,Maastricht,2024-03-12,Tuesday,55.9,68.6,149
GRO_20231211,Groningen,2023-12-11,Monday,52.3,66.3,153
UTR_20230727,Utrecht,2023-07-27,Thursday,71.8,73.7,129
GRO_20230412,Groningen,2023-04-12,Wednesday,55.1,71.0,153
UTR_20231009,Utrecht,2023-10-09,Monday,68.7,73.3,133
UTR_20231118,Utrecht,2023-11-18,Saturday,69.1,74.6,134
ROT_20240228,Rotterdam,2024-02-28,Wednesday,54.3,65.5,148
ROT_20230923,Rotterdam,2023-09-23,Saturday,57.7,60.5,140
UTR_20230810,Utrecht,2023-08-10,Thursday,71.2,74.4,130
ROT_20230901,Rotterdam,2023-09-01,Friday,58.2,61.7,140
ROT_20230519,Rotterdam,2023-05-19,Friday,53.6,62.9,148
UTR_20240107,Utrecht,2024-01-07,Sunday,68.5,75.1,135
AMS_20230419,Amsterdam,2023-04-19,Wednesday,56.3,74.1,153
ROT_20240129,Rotterdam,2024-01-29,Monday,58.4,61.8,140
MAA_20230424,Maastricht,2023-04-24,Monday,61.3,75.0,146
MAA_20230506,Maastricht,2023-05-06,Saturday,58.7,73.1,148
ROT_20230613,Rotterdam,2023-06-13,Tuesday,56.8,58.3,139
MAA_20230719,Maastricht,2023-07-19,Wednesday,56.8,73.6,151
UTR_20240203,Utrecht,2024-02-03,Saturday,66.5,78.7,141
GRO_20230721,Groningen,2023-07-21,Friday,52.7,68.3,154
UTR_20230418,Utrecht,2023-04-18,Tuesday,70.4,76.6,134
GRO_20240210,Groningen,2024-02-10,Saturday,54.3,69.9,152
ROT_20230516,Rotterdam,2023-05-16,Tuesday,56.0,61.8,143
AMS_20230822,Amsterdam,2023-08-22,Tuesday,53.9,74.2,157
ROT_20240110,Rotterdam,2024-01-10,Wednesday,63.0,64.3,135
AMS_20231031,Amsterdam,2023-10-31,Tuesday,61.3,74.2,145
GRO_20230423,Groningen,2023-04-23,Sunday,52.5,70.6,155
UTR_20230704,Utrecht,2023-07-04,Tuesday,69.9,74.3,132
ROT_20240329,Rotterdam,2024-03-29,Friday,57.1,60.9,141
UTR_20230514,Utrecht,2023-05-14,Sunday,70.1,75.7,133
ROT_20231016,Rotterdam,2023-10-16,Monday,57.1,62.9,143
GRO_20230424,Groningen,2023-04-24,Monday,56.0,69.9,149
GRO_20240228,Groningen,2024-02-28,Wednesday,56.6,68.6,148
ROT_20231025,Rotterdam,2023-10-25,Wednesday,55.6,63.8,146
AMS_20230507,Amsterdam,2023-05-07,Sunday,54.2,74.7,157
ROT_20231116,Rotterdam,2023-11-16,Thursday,56.4,63.6,144
UTR_20230518,Utrecht,2023-05-18,Thursday,69.2,77.8,137
AMS_20231023,Amsterdam,2023-10-23,Monday,59.4,75.7,149
MAA_20240113,Maastricht,2024-01-13,Saturday,56.0,70.7,150
UTR_20231101,Utrecht,2023-11-01,Wednesday,68.9,77.4,136
AMS_20230711,Amsterdam,2023-07-11,Tuesday,58.2,77.3,152
MAA_20230815,Maastricht,2023-08-15,Tuesday,56.8,74.6,153
UTR_20230410,Utrecht,2023-04-10,Monday,71.4,75.7,131
UTR_20230424,Utrecht,2023-04-24,Monday,67.7,77.0,138
GRO_20231027,Groningen,2023-10-27,Friday,51.5,69.7,156
MAA_20240330,Maastricht,2024-03-30,Saturday,57.7,72.4,150
AMS_20240108,Amsterdam,2024-01-08,Monday,56.7,73.7,152
AMS_20240226,Amsterdam,2024-02-26,Monday,57.4,78.3,155
GRO_20230927,Groningen,2023-09-27,Wednesday,57.4,71.6,150
AMS_20230623,Amsterdam,2023-06-23,Friday,59.8,79.0,152
MAA_20231105,Maastricht,2023-11-05,Sunday,57.7,73.3,149
AMS_20230714,Amsterdam,2023-07-14,Friday,60.6,74.8,147
ROT_20240324,Rotterdam,2024-03-24,Sunday,56.7,61.8,142
AMS_20230402,Amsterdam,2023-04-02,Sunday,57.5,77.9,154
GRO_20230714,Groningen,2023-07-14,Friday,55.3,69.0,151
AMS_20230608,Amsterdam,2023-06-08,Thursday,59.0,75.8,150
AMS_20240128,Amsterdam,2024-01-28,Sunday,59.3,79.0,152
MAA_20231030,Maastricht,2023-10-30,Monday,57.9,72.1,148
MAA_20230601,Maastricht,2023-06-01,Thursday,58.0,76.5,153
GRO_20230803,Groningen,2023-08-03,Thursday,56.3,68.7,147
MAA_20230629,Maastricht,2023-06-29,Thursday,55.4,70.5,152
ROT_20230626,Rotterdam,2023-06-26,Monday,54.8,64.6,147
AMS_20231216,Amsterdam,2023-12-16,Saturday,59.2,75.1,149
AMS_20240106,Amsterdam,2024-01-06,Saturday,55.7,75.5,155
MAA_20230922,Maastricht,2023-09-22,Friday,54.2,70.7,153
ROT_20230713,Rotterdam,2023-07-13,Thursday,55.4,64.1,146
GRO_20231113,Groningen,2023-11-13,Monday,52.1,73.4,159
ROT_20240308,Rotterdam,2024-03-08,Friday,56.8,63.6,144
MAA_20230526,Maastricht,2023-05-26,Friday,59.0,68.4,145
ROT_20240314,Rotterdam,2024-03-14,Thursday,53.4,61.9,148
UTR_20230411,Utrecht,2023-04-11,Tuesday,69.2,77.1,136
UTR_20230528,Utrecht,2023-05-28,Sunday,70.5,73.8,131
AMS_20230501,Amsterdam,2023-05-01,Monday,56.6,74.1,152
MAA_20240220,Maastricht,2024-02-20,Tuesday,56.1,73.0,153
UTR_20231003,Utrecht,2023-10-03,Tuesday,68.7,76.2,136
ROT_20230916,Rotterdam,2023-09-16,Saturday,56.2,61.6,142
GRO_20230609,Groningen,2023-06-09,Friday,58.3,68.2,145
UTR_20230913,Utrecht,2023-09-13,Wednesday,72.0,76.2,131
GRO_20230506,Groningen,2023-05-06,Saturday,53.1,69.0,154
MAA_20230412,Maastricht,2023-04-12,Wednesday,55.1,75.9,156
ROT_20230909,Rotterdam,2023-09-09,Saturday,55.1,62.4,145
ROT_20231030,Rotterdam,2023-10-30,Monday,56.4,62.4,144
GRO_20240124,Groningen,2024-01-24,Wednesday,53.4,68.0,152
GRO_20230916,Groningen,2023-09-16,Saturday,57.6,72.6,151
UTR_20231221,Utrecht,2023-12-21,Thursday,66.2,74.0,138
GRO_20240208,Groningen,2024-02-08,Thursday,57.2,68.9,148
UTR_20230916,Utrecht,2023-09-16,Saturday,71.0,72.9,130
MAA_20230628,Maastricht,2023-06-28,Wednesday,57.6,71.0,148
AMS_20230927,Amsterdam,2023-09-27,Wednesday,56.8,76.4,153
ROT_20230420,Rotterdam,2023-04-20,Thursday,53.9,58.9,145
GRO_20230817,Groningen,2023-08-17,Thursday,56.7,67.9,148
UTR_20240322,Utrecht,2024-03-22,Friday,72.3,76.0,130
MAA_20231118,Maastricht,2023-11-18,Saturday,54.3,73.8,154
AMS_20240116,Amsterdam,2024-01-16,Tuesday,55.2,73.3,154
ROT_20231109,Rotterdam,2023-11-09,Thursday,60.1,61.0,137
GRO_20230805,Groningen,2023-08-05,Saturday,54.7,70.5,152
ROT_20231204,Rotterdam,2023-12-04,Monday,59.3,60.5,138
GRO_20230926,Groningen,2023-09-26,Tuesday,54.1,70.9,154
GRO_20230929,Groningen,2023-09-29,Friday,57.0,69.9,149
MAA_20230902,Maastricht,2023-09-02,Saturday,55.5,69.1,150
MAA_20231209,Maastricht,2023-12-09,Saturday,57.6,70.3,148
UTR_20230919,Utrecht,2023-09-19,Tuesday,69.0,73.6,134
AMS_20240207,Amsterdam,2024-02-07,Wednesday,58.5,73.6,149
MAA_20230613,Maastricht,2023-06-13,Tuesday,60.0,76.4,149
ROT_20231009,Rotterdam,2023-10-09,Monday,58.7,61.4,139
MAA_20231014,Maastricht,2023-10-14,Saturday,57.8,71.5,149
ROT_20230608,Rotterdam,2023-06-08,Thursday,57.7,62.2,142
GRO_20231029,Groningen,2023-10-29,Sunday,54.8,72.2,153
AMS_20230903,Amsterdam,2023-09-03,Sunday,59.5,73.7,147
ROT_20230816,Rotterdam,2023-08-16,Wednesday,59.7,63.5,139
ROT_20230525,Rotterdam,2023-05-25,Thursday,54.9,60.7,145
UTR_20240102,Utrecht,2024-01-02,Tuesday,69.3,76.1,134
AMS_20230825,Amsterdam,2023-08-25,Friday,58.8,74.7,149
MAA_20230916,Maastricht,2023-09-16,Saturday,53.4,71.9,155
MAA_20230511,Maastricht,2023-05-11,Thursday,59.7,73.7,147
AMS_20230630,Amsterdam,2023-06-30,Friday,60.3,74.7,147
AMS_20231229,Amsterdam,2023-12-29,Friday,58.2,76.9,152
AMS_20240111,Amsterdam,2024-01-11,Thursday,58.9,73.6,149
ROT_20240106,Rotterdam,2024-01-06,Saturday,56.0,63.0,144
GRO_20230606,Groningen,2023-06-06,Tuesday,57.8,69.0,147
GRO_20230715,Groningen,2023-07-15,Saturday,54.9,67.6,150
