SampleID,Location,DateTime,DayOfWeek,Temperature,Moisture,Viable counts
UTR_20230719,Utrecht,2023-07-19,Wednesday,69.4,77.7,137
AMS_20240109,Amsterdam,2024-01-09,Tuesday,56.9,73.4,152
AMS_20230808,Amsterdam,2023-08-08,Tuesday,56.8,72.9,151
UTR_20240401,Utrecht,2024-04-01,Monday,71.0,76.4,133
AMS_20240305,Amsterdam,2024-03-05,Tuesday,58.8,75.8,150
ROT_20231220,Rotterdam,2023-12-20,Wednesday,56.5,61.5,142
ROT_20230619,Rotterdam,2023-06-19,Monday,57.6,64.6,144
UTR_20240324,Utrecht,2024-03-24,Sunday,65.7,77.5,141
AMS_20230630,Amsterdam,2023-06-30,Friday,60.3,74.7,147
ROT_20230421,Rotterdam,2023-04-21,Friday,61.6,65.0,138
MAA_20230704,Maastricht,2023-07-04,Tuesday,54.0,75.2,158
ROT_20230813,Rotterdam,2023-08-13,Sunday,58.6,62.4,141
GRO_20230915,Groningen,2023-09-15,Friday,55.3,72.1,153
MAA_20231106,Maastricht,2023-11-06,Monday,61.0,75.2,146
AMS_20230917,Amsterdam,2023-09-17,Sunday,56.3,75.3,154
UTR_20240103,Utrecht,2024-01-03,Wednesday,69.6,76.9,135
UTR_20231001,Utrecht,2023-10-01,Sunday,68.5,73.4,134
MAA_20231021,Maastricht,2023-10-21,Saturday,60.7,73.1,145
UTR_20230423,Utrecht,2023-04-23,Sunday,67.8,73.5,135
ROT_20230701,Rotterdam,2023-07-01,Saturday,55.5,65.9,148
ROT_20240106,Rotterdam,2024-01-06,Saturday,56.0,63.0,144
AMS_20230802,Amsterdam,2023-08-02,Wednesday,59.0,77.6,152
MAA_20230903,Maastricht,2023-09-03,Sunday,53.3,70.2,153
GRO_20230727,Groningen,2023-07-27,Thursday,55.4,67.6,149
MAA_20230825,Maastricht,2023-08-25,Friday,54.1,71.5,154
GRO_20230425,Groningen,2023-04-25,Tuesday,55.7,68.8,150
GRO_20230809,Groningen,2023-08-09,Wednesday,54.4,66.8,150
GRO_20230407,Groningen,2023-04-07,Friday,55.3,68.9,150
ROT_20231025,Rotterdam,2023-10-25,Wednesday,55.6,63.8,146
GRO_20240131,Groningen,2024-01-31,Wednesday,51.4,68.9,156
ROT_20230918,Rotterdam,2023-09-18,Monday,63.1,62.8,133
UTR_20230720,Utrecht,2023-07-20,Thursday,67.5,75.8,137
ROT_20230909,Rotterdam,2023-09-09,Saturday,55.1,62.4,145
UTR_20230916,Utrecht,2023-09-16,Saturday,71.0,72.9,130
MAA_20230726,Maastricht,2023-07-26,Wednesday,61.4,71.9,143
GRO_20240306,Groningen,2024-03-06,Wednesday,56.3,68.8,149
AMS_20230807,Amsterdam,2023-08-07,Monday,58.7,78.5,153
AMS_20240324,Amsterdam,2024-03-24,Sunday,54.9,73.9,156
